SHOCK,CHANNEL,CHANNEL_ROLE,N_ETFS_MIN,N_DATES_MIN,H0_COEFFICIENT,TROUGH_HORIZON,TROUGH_COEFFICIENT,PEAK_HORIZON,PEAK_COEFFICIENT,H12_COEFFICIENT,FIRST_NONNEGATIVE_HORIZON_AFTER_NEGATIVE_H0,N_RAW_P_LT_05,N_BH_Q_WITHIN_CHANNEL_LT_10,ANY_BONFERRONI_BAND_EXCLUDES_ZERO,DYNAMIC_PATTERN
CPU_AND_VIX_STRESS,EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,14,180,-0.042654347962964335,10,-0.30660293753881807,0,-0.042654347962964335,-0.18447890669115444,,7,7,False,PERSISTENT_CUMULATIVE_DOWNSIDE
CPU_AND_VIX_STRESS,EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,11,180,-0.016124357944374966,10,-0.10919064231679115,0,-0.016124357944374966,-0.06262650517285537,,0,0,False,PERSISTENT_CUMULATIVE_DOWNSIDE
CPU_AND_VIX_STRESS,FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,14,180,-0.037835551532316186,10,-0.3270583581529072,0,-0.037835551532316186,-0.21075998590992925,,8,9,False,PERSISTENT_CUMULATIVE_DOWNSIDE
CPU_AND_VIX_STRESS,GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,13,180,-0.01287492024523637,5,-0.028132641694609627,10,0.011805400062806098,0.011056396433652456,9.0,0,0,False,NEGATIVE_IMPACT_THEN_REBOUND
CPU_AND_VIX_STRESS,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,23,180,-0.00714214804587571,5,-0.007688517263843244,10,0.033950343313528246,0.014966374248429596,2.0,0,0,False,NEGATIVE_IMPACT_THEN_REBOUND
CPU_AND_VIX_STRESS,PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,24,180,-0.01214263013751627,5,-0.04166406224391723,12,0.00047020447778581926,0.00047020447778581926,12.0,1,0,False,NEGATIVE_IMPACT_THEN_REBOUND
CPU_SHOCK,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,11,120,-0.00224010211738504,0,-0.00224010211738504,11,0.008260054209725975,0.0041057012415699895,1.0,0,0,False,NEGATIVE_IMPACT_THEN_REBOUND
CPU_SHOCK,PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,11,120,0.0011010603114846723,3,0.0010104321990612938,12,0.015432909997689537,0.015432909997689537,,1,0,False,NO_CLEAR_UNIDIRECTIONAL_PATTERN
CPU_VIX_CONTINUOUS,EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,14,180,-0.014689592592914363,11,-0.10469894567285723,0,-0.014689592592914363,-0.08732050046027064,,1,0,False,PERSISTENT_CUMULATIVE_DOWNSIDE
CPU_VIX_CONTINUOUS,EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,11,180,-0.006535591221884851,11,-0.04062683873125097,0,-0.006535591221884851,-0.03211430372631691,,4,1,False,PERSISTENT_CUMULATIVE_DOWNSIDE
CPU_VIX_CONTINUOUS,FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,14,180,-0.01316884904054559,11,-0.10097839535095904,0,-0.01316884904054559,-0.08552237889860452,,2,0,False,PERSISTENT_CUMULATIVE_DOWNSIDE
CPU_VIX_CONTINUOUS,GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,13,180,-0.0016738696249662746,7,-0.010216312868798937,3,-0.0015737414709840374,-0.007743797462514387,,0,0,False,PERSISTENT_CUMULATIVE_DOWNSIDE
CPU_VIX_CONTINUOUS,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,23,180,-9.613480630344334e-05,7,-0.009107807169015214,10,3.073753012254531e-05,-0.0034817924835048907,10.0,0,0,False,NEGATIVE_IMPACT_THEN_REBOUND
CPU_VIX_CONTINUOUS,PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,24,180,-0.0033958632930821036,11,-0.012954947081714893,3,-0.002910800483869222,-0.009621329386421781,,2,0,False,PERSISTENT_CUMULATIVE_DOWNSIDE
EXTREME_CPU_REGIME,EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,14,180,0.01249695569765854,0,0.01249695569765854,8,0.16865260857264336,0.10705053881760693,,0,0,False,NO_CLEAR_UNIDIRECTIONAL_PATTERN
EXTREME_CPU_REGIME,EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,11,180,0.006878752322219652,0,0.006878752322219652,8,0.09304081173235866,0.05912369772200886,,5,4,False,NO_CLEAR_UNIDIRECTIONAL_PATTERN
EXTREME_CPU_REGIME,FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,14,180,0.015030248135097644,0,0.015030248135097644,9,0.18183620535967426,0.13869948023873763,,7,8,False,NO_CLEAR_UNIDIRECTIONAL_PATTERN
EXTREME_CPU_REGIME,GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,13,180,-0.005659487334613668,12,-0.06347053680536761,0,-0.005659487334613668,-0.06347053680536761,,6,6,True,PERSISTENT_CUMULATIVE_DOWNSIDE
EXTREME_CPU_REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,23,180,-0.007407843316487757,12,-0.08221723543751264,0,-0.007407843316487757,-0.08221723543751264,,12,13,True,PERSISTENT_CUMULATIVE_DOWNSIDE
EXTREME_CPU_REGIME,PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,24,180,4.612363728703599e-05,12,-0.004531560246113592,8,0.024401016771987208,-0.004531560246113592,,0,0,False,DELAYED_DOWNSIDE
