CHANNEL,CHANNEL_ROLE,SHOCK,SHOCK_ROLE,HORIZON_MONTHS,OUTCOME,MODEL_VARIANT,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,ERROR_MESSAGE,ARCHITECTURE_COLUMN,VALID_ROW_FLAG,FOCAL_REGRESSOR,INFERENCE_CLASS,COVARIANCE_STATUS,NONFINITE_COV_ELEMENTS,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,TARGET_VARIANCE,MIN_COV_EIGENVALUE,PSD_WARNING,FINITE_COEFFICIENT,COVARIANCE_METHOD,DK_BANDWIDTH,DF_INFERENCE,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DESIGN_RANK,N_REGRESSORS,ABSORBED_EFFECT_DF,CONDITION_NUMBER,WITHIN_R_SQUARED,REGRESSORS
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,0,LP_CUM_RETURN_H0,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-9.613480630344334e-05,0.0017690354514320087,-0.05434306374449624,0.956718639679357,-0.0035854899928037596,0.0033932203801968733,1777,23,192,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,3.1294864284232507e-06,1.9385320677645267e-07,False,True,DATE_CLUSTERED,0,191,1,3.3152493096445647e-16,10,10,22,48.57442769879292,0.8180161716887575,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,0,LP_CUM_RETURN_H0,MONTH_FE_ROBUSTNESS,RELIABLE_ESTIMATE,-0.00013444276965760078,0.0018608391406295555,-0.07224846399786945,0.9424797761666972,-0.0038048772436204813,0.0035359917043052795,1777,23,192,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,3.462722307298943e-06,1.7796667348246115e-06,False,True,DATE_CLUSTERED,0,191,28,5.255573753970566e-12,3,3,213,1.7380470487393873,0.0019445125840734656,CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,0,LP_CUM_RETURN_H0,LAG_AUGMENTED_ROBUSTNESS,RELIABLE_ESTIMATE,0.00023854054256459403,0.0016999684460745296,0.14032057072319093,0.8885553564886197,-0.0031146951258304036,0.003591776210959592,1754,23,191,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,2.889892717649051e-06,9.52329212052519e-08,False,True,DATE_CLUSTERED,0,190,1,3.8659551750340273e-16,17,17,22,62.07544954755914,0.8200520319076376,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE|ETF_RETURN_L1|CPU_Z_L1|VIX_LEVEL_Z_L1|CPU_Z_X_VIX_Z_L1|CPU_L1_X_ARCH|VIX_L1_X_ARCH|CPU_VIX_L1_X_ARCH
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,1,LP_CUM_RETURN_H1,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.001578727704569096,0.003145479635613956,-0.5019036482367654,0.6163164139984489,-0.007783274931728861,0.004625819522590669,1754,23,191,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,9.894042138062105e-06,2.9251328693270134e-06,False,True,DK_H1,1,190,1,3.8659551750340273e-16,10,10,22,48.48093312432419,0.40569406839997724,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,1,LP_CUM_RETURN_H1,MONTH_FE_ROBUSTNESS,RELIABLE_ESTIMATE,-0.0015923821892724367,0.003223210236220314,-0.49403609214760313,0.6218513505929364,-0.007950255216732132,0.004765490838187258,1754,23,191,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,1.0389084226875411e-05,6.6386921022486135e-06,False,True,DK_H1,1,190,28,5.836608973908142e-12,3,3,212,1.7427076514931141,0.0025895825315371823,CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,1,LP_CUM_RETURN_H1,LAG_AUGMENTED_ROBUSTNESS,RELIABLE_ESTIMATE,-0.0012427008304419043,0.003076620395351962,-0.40391750386863723,0.6867300399490684,-0.007311627082570861,0.0048262254216870516,1731,23,190,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,9.465593057095662e-06,1.254793974246452e-06,False,True,DK_H1,1,189,1,3.806478941571965e-16,17,17,22,62.03929225823402,0.4180094839049483,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE|ETF_RETURN_L1|CPU_Z_L1|VIX_LEVEL_Z_L1|CPU_Z_X_VIX_Z_L1|CPU_L1_X_ARCH|VIX_L1_X_ARCH|CPU_VIX_L1_X_ARCH
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,2,LP_CUM_RETURN_H2,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.0006573319168893842,0.003927514519744108,-0.1673658782379783,0.8672611109194159,-0.008404727731629109,0.00709006389785034,1731,23,190,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,1.5425370302800788e-05,3.547031461374646e-06,False,True,DK_H2,2,189,1,3.016455010302312e-16,10,10,22,48.73374151637711,0.26030622747824783,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,2,LP_CUM_RETURN_H2,MONTH_FE_ROBUSTNESS,RELIABLE_ESTIMATE,-0.000404520233621278,0.004259361009384767,-0.0949720469173633,0.9244376451903342,-0.008806514800842666,0.007997474333600109,1731,23,190,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,1.8142156208267218e-05,1.085097625062876e-05,False,True,DK_H2,2,189,28,6.561973187046988e-12,3,3,211,1.7403391052382107,0.003569133108737632,CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,2,LP_CUM_RETURN_H2,LAG_AUGMENTED_ROBUSTNESS,RELIABLE_ESTIMATE,9.80337338452082e-05,0.003758574415449232,0.02608269067182777,0.9792190482512387,-0.0073163657920503455,0.0075124332597407625,1708,23,189,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,1.4126881636469535e-05,1.1851873341420355e-06,False,True,DK_H2,2,188,1,3.75767792950053e-16,17,17,22,62.451776315829136,0.2735768230277853,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE|ETF_RETURN_L1|CPU_Z_L1|VIX_LEVEL_Z_L1|CPU_Z_X_VIX_Z_L1|CPU_L1_X_ARCH|VIX_L1_X_ARCH|CPU_VIX_L1_X_ARCH
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,3,LP_CUM_RETURN_H3,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.00043878020997620553,0.00479979112966854,-0.0914165217032072,0.9272589659548919,-0.009907149102696031,0.009029588682743618,1708,23,189,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,2.30379948884448e-05,3.3270969341725452e-06,False,True,DK_H3,3,188,1,3.75767792950053e-16,10,10,22,48.78464572729543,0.24634744914884388,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE
