CHANNEL,CHANNEL_ROLE,OUTCOME,SAMPLE_DESIGN,N_MONTHS,N_ETFS_MIN,N_ETFS_MAX,DATE_START,DATE_END,INFERENCE_CLASS,TEST,FOCAL,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,NONSTATE_MEAN,STATE_MEAN,N_STATE_MONTHS,HOLM_P_PRIMARY_FAMILY,BH_Q_PRIMARY_FAMILY
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,34,10,11,2023-03-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,UNCONDITIONAL_MEAN,CONST,-0.005281940777434101,0.00429211281873283,-1.2306155500808809,0.21846668655125911,-0.013694327319733142,0.0031304457648649387,,,,1.0,0.5825778308033577
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,34,10,11,2023-03-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,CONTINUOUS_CPU_VIX_ACTIVATION,CPU_Z_X_VIX_Z,-0.002623122983406515,0.005776470967334752,-0.4541047636593276,0.6497534247932915,-0.013944798037123875,0.008698552070310846,,,,1.0,0.8280599913627228
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,34,10,11,2023-03-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,CPU_AND_VIX_STRESS_INCREMENT,CPU_AND_VIX_STRESS,-0.0005563579883532548,0.00540355209761165,-0.10296152943526961,0.9179935036936279,-0.011147125488257952,0.010034409511551441,-0.005232850366697048,-0.005789208355050303,3.0,1.0,0.9179935036936279
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,34,10,11,2023-03-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,EXTREME_CPU_REGIME_INCREMENT,EXTREME_CPU_REGIME,0.018181302547634896,0.008232460179830524,2.208489582759109,0.027210163196062457,0.002045977091006932,0.034316628004262856,-0.011698871088364066,0.00648243145927083,12.0,0.3809422847448744,0.12586424823518333
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,34,10,11,2023-03-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,HIGH_CPU_REGIME_INCREMENT,HIGH_CPU_REGIME,0.0035043844999987717,0.007235532012536693,0.4843299005417813,0.628151758904876,-0.010676997653559762,0.017685766653557304,-0.007446413556845109,-0.003942029056846337,21.0,1.0,0.8107041231647611
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,34,10,11,2023-03-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,HIGH_VIX_REGIME_INCREMENT,HIGH_VIX_REGIME,-0.0005563579883532548,0.00540355209761165,-0.10296152943526961,0.9179935036936279,-0.011147125488257952,0.010034409511551441,-0.005232850366697048,-0.005789208355050303,3.0,1.0,0.9791930706065364
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,37,10,13,2022-12-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,UNCONDITIONAL_MEAN,CONST,0.006498505723924125,0.0020852599527567185,3.116400770720737,0.0018307328164773574,0.0024114713181172627,0.010585540129730987,,,,0.029291725063637718,0.029291725063637718
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,37,10,13,2022-12-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,CONTINUOUS_CPU_VIX_ACTIVATION,CPU_Z_X_VIX_Z,-0.001029436492333701,0.0032151966844558653,-0.3201783882493401,0.7488331052297177,-0.00733110619707979,0.0052722332124123875,,,,1.0,0.8280599913627228
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,37,10,13,2022-12-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,CPU_AND_VIX_STRESS_INCREMENT,CPU_AND_VIX_STRESS,-0.004589538060612319,0.005669939453580855,-0.8094509823581612,0.4182557870873388,-0.01570241518415351,0.006523339062928871,0.006870630431541342,0.002281092370929023,3.0,1.0,0.9179935036936279
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,37,10,13,2022-12-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,EXTREME_CPU_REGIME_INCREMENT,EXTREME_CPU_REGIME,-0.0069448902347509665,0.005219114146551157,-1.3306645610232954,0.18329940886582197,-0.017174165993194736,0.0032843855236928026,0.008750902556816334,0.0018060123220653675,12.0,1.0,0.2839922662439052
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,37,10,13,2022-12-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,HIGH_CPU_REGIME_INCREMENT,HIGH_CPU_REGIME,0.002537467830878173,0.003825209133932402,0.6633540133450425,0.5071038509428321,-0.004959804304962987,0.010034739966719332,0.004989741067726294,0.007527208898604467,22.0,1.0,0.750148842953222
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,37,10,13,2022-12-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,HIGH_VIX_REGIME_INCREMENT,HIGH_VIX_REGIME,-0.008139340647348102,0.005405221152836835,-1.5058293485505791,0.13211098718192696,-0.01873337943538237,0.002454698140686166,0.007378434442556354,-0.0007609062047917482,4.0,1.0,0.7045919316369438
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,10,23,2019-07-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,UNCONDITIONAL_MEAN,CONST,0.0033988608874037764,0.001981617580884944,1.7151951618666628,0.08630945161523013,-0.0004850382022621013,0.007282759977069654,,,,1.0,0.3452378064609205
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,10,23,2019-07-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,CONTINUOUS_CPU_VIX_ACTIVATION,CPU_Z_X_VIX_Z,0.0011846535582466676,0.001147198050944809,1.0326495562566647,0.30176792800002883,-0.0010638133047397042,0.0034331204212330393,,,,1.0,0.6691555234276736
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,10,23,2019-07-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,CPU_AND_VIX_STRESS_INCREMENT,CPU_AND_VIX_STRESS,-0.008564917536763587,0.002862580304645953,-2.9920269914743596,0.0027713175931705237,-0.01417547183672335,-0.002954363236803823,0.005265573683877891,-0.003299343852885696,17.0,0.04434108149072838,0.04434108149072838
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,10,23,2019-07-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,EXTREME_CPU_REGIME_INCREMENT,EXTREME_CPU_REGIME,-0.006923211152215339,0.0035541682343553653,-1.9479131812878383,0.05142535231622425,-0.01388925288654817,4.283058211749201e-05,0.005085284116789562,-0.0018379270354257765,19.0,0.5656788754784667,0.13713427284326465
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,10,23,2019-07-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,HIGH_CPU_REGIME_INCREMENT,HIGH_CPU_REGIME,-0.0027090111494791386,0.002932717081680979,-0.9237205888016937,0.35563180971128494,-0.00845703100641927,0.0030390087074609923,0.004961751935180204,0.002252740785701065,45.0,1.0,0.750148842953222
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,10,23,2019-07-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,HIGH_VIX_REGIME_INCREMENT,HIGH_VIX_REGIME,-0.005627092668026078,0.0036040416080749165,-1.5613284417745015,0.11844627617335508,-0.012690884418636736,0.0014366990825845785,0.005346700657105112,-0.00028039201092096636,27.0,1.0,0.7045919316369438
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,10,24,2019-07-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,UNCONDITIONAL_MEAN,CONST,0.0022540389772709823,0.0017492434645085323,1.2885793332972535,0.19754437206395203,-0.0011744152133578091,0.005682493167899774,,,,1.0,0.5825778308033577
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,ETF_RETURN,MIN10_CROSS_SECTION,78,10,24,2019-07-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,CONTINUOUS_CPU_VIX_ACTIVATION,CPU_Z_X_VIX_Z,-0.003629459306494312,0.002042103164914621,-1.7773143731678498,0.07551653012320822,-0.007631907962442227,0.0003729893494536034,,,,1.0,0.6041322409856658
