CHANNEL,CHANNEL_ROLE,SORT_METHOD,SAMPLE_DESIGN,N_MONTHS,DATE_START,DATE_END,N_HIGH_MIN,N_LOW_MIN,TEST,FOCAL,COEFFICIENT,STANDARD_ERROR,P_VALUE,CI_LOWER_95,CI_UPPER_95,NONSTATE_MEAN,STATE_MEAN,N_STATE_MONTHS,HOLM_P_PRIMARY_FAMILY,BH_Q_PRIMARY_FAMILY
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,2018-07-31,2025-12-31,2,2,UNCONDITIONAL_HML_MEAN,CONST,-0.0010007202920617052,0.004347024529975568,0.8179300618475057,-0.009520731810725975,0.007519291226602566,,,,0.8179300618475057,0.8179300618475057
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,2018-07-31,2025-12-31,2,2,FACTOR_ADJUSTED_ALPHA,CONST,-0.004717988249423924,0.005115411108659769,0.35636756915339185,-0.014744009788513179,0.005308033289665332,,,,1.0,0.680335086392119
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,2018-07-31,2025-12-31,2,2,CONTINUOUS_CPU_VIX_SENSITIVITY,CPU_Z_X_VIX_Z,-0.010167525291340941,0.004363532474467529,0.01980016078989295,-0.01871989178666824,-0.0016151587960136406,,,,0.07664732633282952,0.0396003215797859
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,2018-07-31,2025-12-31,2,2,CPU_AND_VIX_STRESS_RAW_INCREMENT,CPU_AND_VIX_STRESS,-0.002315580051725135,0.010382030794669263,0.8235064812909261,-0.022663986495662647,0.018032826392212375,-0.0005633329489580674,-0.002878913000683202,17.0,0.8235064812909261,0.8235064812909261
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,2018-07-31,2025-12-31,2,2,CPU_AND_VIX_STRESS_ADJUSTED_INCREMENT,CPU_AND_VIX_STRESS,0.002221948435293235,0.015308291203398822,0.8845950224097932,-0.027781750988219778,0.03222564785880625,,,17.0,1.0,0.9218757420603457
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,2018-07-31,2025-12-31,2,2,EXTREME_CPU_REGIME_RAW_INCREMENT,EXTREME_CPU_REGIME,0.005393768470889331,0.011619911923534435,0.642516461417813,-0.017380840402765704,0.028168377344544367,-0.0021394047470272306,0.0032543637238621006,19.0,1.0,0.7011391051753584
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,90,2018-07-31,2025-12-31,2,2,EXTREME_CPU_REGIME_ADJUSTED_INCREMENT,EXTREME_CPU_REGIME,0.00483610842018428,0.012350057180755054,0.6953641979211529,-0.019369558861105904,0.02904177570147446,,,19.0,1.0,0.9271522638948705
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,3,2,UNCONDITIONAL_HML_MEAN,CONST,0.004030984127262581,0.0020951179009001245,0.05435594240911662,-7.537150186682096e-05,0.008137339756391984,,,,0.21742376963646648,0.14241698490084984
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,3,2,FACTOR_ADJUSTED_ALPHA,CONST,0.0010565414580926294,0.0016045974652290837,0.5102513147940893,-0.0020884117834406362,0.0042014946996258955,,,,1.0,0.680335086392119
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,3,2,CONTINUOUS_CPU_VIX_SENSITIVITY,CPU_Z_X_VIX_Z,-0.0008460058634722949,0.001190844852696185,0.47744067208041996,-0.0031800188859317235,0.0014880071589871337,,,,0.47744067208041996,0.47744067208041996
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,3,2,CPU_AND_VIX_STRESS_RAW_INCREMENT,CPU_AND_VIX_STRESS,-0.01072468616097326,0.003127879705857827,0.0006063902053134259,-0.01685521773242834,-0.00459415458951818,0.006368415726449061,-0.0043562704345241985,17.0,0.0024255608212537037,0.0024255608212537037
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,3,2,CPU_AND_VIX_STRESS_ADJUSTED_INCREMENT,CPU_AND_VIX_STRESS,-0.0008446849085154554,0.003341110018031857,0.8004106717744243,-0.007393140212243865,0.005703770395212954,,,17.0,1.0,0.9218757420603457
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,3,2,EXTREME_CPU_REGIME_RAW_INCREMENT,EXTREME_CPU_REGIME,-0.007719885020277757,0.003354559083022176,0.021374036508547037,-0.01429470000701293,-0.0011450700335425834,0.005911468939894342,-0.0018084160803834154,19.0,0.08549614603418815,0.08549614603418815
GROWTH_DURATION_EXPOSURE_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,78,2019-07-31,2025-12-31,3,2,EXTREME_CPU_REGIME_ADJUSTED_INCREMENT,EXTREME_CPU_REGIME,-0.00340625101467972,0.0028596342951598412,0.23359503025783146,-0.009011031242148592,0.002198529212789151,,,19.0,0.9343801210313258,0.8347559800158308
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,UNCONDITIONAL_HML_MEAN,CONST,0.002306851685326837,0.0014304406763240565,0.10681273867563738,-0.0004967605222894306,0.005110463892943104,,,,0.22447478887816666,0.14241698490084984
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,FACTOR_ADJUSTED_ALPHA,CONST,0.00216441684328822,0.001470570351844412,0.14106912614552694,-0.0007178480830592232,0.005046681769635663,,,,0.5642765045821078,0.5642765045821078
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,CONTINUOUS_CPU_VIX_SENSITIVITY,CPU_Z_X_VIX_Z,0.0023821711154536056,0.0013516561666722857,0.07800020383464142,-0.00026702629070554304,0.005031368521612754,,,,0.15600040766928283,0.10400027177952188
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,CPU_AND_VIX_STRESS_RAW_INCREMENT,CPU_AND_VIX_STRESS,-0.0044839660603526585,0.00244957109197089,0.06717361032439964,-0.009285037178186056,0.00031710505748073787,0.003012661157789755,-0.0014713049025629034,17.0,0.20152083097319892,0.09784001306569588
