CHANNEL,EXPECTED_SIGN,name,family,kind,a,b,description,MODEL_VARIANT,FOCAL_REGRESSOR,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,COVARIANCE_METHOD,MONTH_FE,COVARIANCE_STATUS,TARGET_VARIANCE,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,NONFINITE_COV_ELEMENTS,MIN_COV_EIGENVALUE,REGRESSORS,DESIGN_RANK,N_REGRESSORS,CONDITION_NUMBER,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DF_INFERENCE,cont,binary,cpu,vix,SAMPLE_WINDOW,ERROR_MESSAGE,shock,HOLM_P_WITHIN_FAMILY,BH_Q_WITHIN_FAMILY,EXPECTED_SIGN_MATCH
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_TOP_10,ALTERNATIVE_STRESS_THRESHOLD,BINARY_PAIR,CPU_TOP_10,VIX_TOP_10,CPU and VIX top 10% jointly,ETF_FE_DATE_CLUSTER,CPU_VIX_TOP_10_AB_X_ARCH,RELIABLE_ESTIMATE,0.016304757322687723,0.005561073517340194,2.9319442139808514,0.0037800478750029446,0.005335751187433142,0.027273763457942305,1777,23,192,DATE_CLUSTER,False,VALID,3.092553866526244e-05,0.0,0.0,0.0,1.220499457193489e-07,CPU_TOP_10|VIX_TOP_10|CPU_VIX_TOP_10_AB|CPU_VIX_TOP_10_A_X_ARCH|CPU_VIX_TOP_10_B_X_ARCH|CPU_VIX_TOP_10_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,17.94908499012453,1.0,5.45427518569365e-17,191.0,,,,,,,,0.04536057450003533,0.012096153200009422,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_TOP_10,ALTERNATIVE_STRESS_THRESHOLD,BINARY_PAIR,CPU_TOP_10,VIX_TOP_10,CPU and VIX top 10% jointly,ETF_MONTH_FE,CPU_VIX_TOP_10_AB_X_ARCH,RELIABLE_ESTIMATE,0.015854065753188686,0.006694441334548515,2.368243287362815,0.02707896683958071,0.0019706441648050382,0.029737487341572333,1777,23,192,ETF_CLUSTER,True,VALID,4.481554478171171e-05,0.0,0.0,0.0,5.002012334503492e-06,CPU_VIX_TOP_10_A_X_ARCH|CPU_VIX_TOP_10_B_X_ARCH|CPU_VIX_TOP_10_AB_X_ARCH,3.0,3.0,4.487045751782943,29.0,9.159217938255407e-12,22.0,,,,,,,,0.2707896683958071,0.05830168395630135,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_TOP_20,ALTERNATIVE_STRESS_THRESHOLD,BINARY_PAIR,CPU_TOP_20,VIX_TOP_20,CPU and VIX top 20% jointly,ETF_FE_DATE_CLUSTER,CPU_VIX_TOP_20_AB_X_ARCH,RELIABLE_ESTIMATE,-0.002100988942478906,0.007153688854735517,-0.2936930841055685,0.7693113264596139,-0.016211368295066045,0.012009390410108234,1777,23,192,DATE_CLUSTER,False,VALID,5.117526423036715e-05,0.0,0.0,0.0,1.322174570104775e-06,CPU_TOP_20|VIX_TOP_20|CPU_VIX_TOP_20_AB|CPU_VIX_TOP_20_A_X_ARCH|CPU_VIX_TOP_20_B_X_ARCH|CPU_VIX_TOP_20_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,21.147127641198246,1.0,2.9864187156489863e-17,191.0,,,,,,,,1.0,0.7775405391135306,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_TOP_20,ALTERNATIVE_STRESS_THRESHOLD,BINARY_PAIR,CPU_TOP_20,VIX_TOP_20,CPU and VIX top 20% jointly,ETF_MONTH_FE,CPU_VIX_TOP_20_AB_X_ARCH,RELIABLE_ESTIMATE,-0.002200473113595932,0.013133726737296831,-0.16754369552604462,0.8684728384959454,-0.02943815527528684,0.025037209048094974,1777,23,192,ETF_CLUSTER,True,VALID,0.00017249477800998565,0.0,0.0,0.0,1.180934142475895e-06,CPU_VIX_TOP_20_A_X_ARCH|CPU_VIX_TOP_20_B_X_ARCH|CPU_VIX_TOP_20_AB_X_ARCH,3.0,3.0,2.920240154895842,30.0,6.939647329717243e-12,22.0,,,,,,,,1.0,0.8684728384959454,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_TOP_25,ALTERNATIVE_STRESS_THRESHOLD,BINARY_PAIR,CPU_TOP_25,VIX_TOP_25,CPU and VIX top 25% jointly,ETF_FE_DATE_CLUSTER,CPU_VIX_TOP_25_AB_X_ARCH,RELIABLE_ESTIMATE,-0.007142148045875695,0.006292078177215573,-1.1351016062925496,0.25775518310816964,-0.01955303308707717,0.005268736995325781,1777,23,192,DATE_CLUSTER,False,VALID,3.959024778819245e-05,0.0,0.0,0.0,8.63096331641404e-07,CPU_TOP_25|VIX_TOP_25|CPU_VIX_TOP_25_AB|CPU_VIX_TOP_25_A_X_ARCH|CPU_VIX_TOP_25_B_X_ARCH|CPU_VIX_TOP_25_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,25.038090194764308,1.0,3.148859901019015e-17,191.0,,,,,,,,1.0,0.3172371484408242,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_TOP_25,ALTERNATIVE_STRESS_THRESHOLD,BINARY_PAIR,CPU_TOP_25,VIX_TOP_25,CPU and VIX top 25% jointly,ETF_MONTH_FE,CPU_VIX_TOP_25_AB_X_ARCH,RELIABLE_ESTIMATE,-0.007241012845038105,0.0066738792804123025,-1.0849780975646846,0.28967818630368175,-0.021081791343127876,0.006599765653051665,1777,23,192,ETF_CLUSTER,True,VALID,4.454066464951663e-05,0.0,0.0,0.0,3.464713813979976e-07,CPU_VIX_TOP_25_A_X_ARCH|CPU_VIX_TOP_25_B_X_ARCH|CPU_VIX_TOP_25_AB_X_ARCH,3.0,3.0,3.4225933100325183,30.0,7.607544087015327e-12,22.0,,,,,,,,1.0,0.38623758173824235,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_MARKET_TAIL_10,ALTERNATIVE_MARKET_ACTIVATION,BINARY_PAIR,CPU_TOP_10,MARKET_BOTTOM_10,CPU top 10% and market bottom 10%,ETF_FE_DATE_CLUSTER,CPU_MARKET_TAIL_10_AB_X_ARCH,RELIABLE_ESTIMATE,-0.007190911230309929,0.0065415084063929745,-1.0992741709667906,0.27303215566814953,-0.020093787917662753,0.005711965457042896,1777,23,192,DATE_CLUSTER,False,VALID,4.2791332230909956e-05,0.0,0.0,0.0,1.625347979646047e-06,CPU_TOP_10|MARKET_BOTTOM_10|CPU_MARKET_TAIL_10_AB|CPU_MARKET_TAIL_10_A_X_ARCH|CPU_MARKET_TAIL_10_B_X_ARCH|CPU_MARKET_TAIL_10_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,20.934005618121766,1.0,5.45427518569365e-17,191.0,,,,,,,,1.0,0.4964221012148173,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_MARKET_TAIL_10,ALTERNATIVE_MARKET_ACTIVATION,BINARY_PAIR,CPU_TOP_10,MARKET_BOTTOM_10,CPU top 10% and market bottom 10%,ETF_MONTH_FE,CPU_MARKET_TAIL_10_AB_X_ARCH,RELIABLE_ESTIMATE,-0.007473068056956406,0.007651811260889139,-0.9766404060635491,0.3393649818870778,-0.02334195335159913,0.00839581723768632,1777,23,192,ETF_CLUSTER,True,VALID,5.855021557226984e-05,0.0,0.0,0.0,6.546653892941115e-06,CPU_MARKET_TAIL_10_A_X_ARCH|CPU_MARKET_TAIL_10_B_X_ARCH|CPU_MARKET_TAIL_10_AB_X_ARCH,3.0,3.0,3.068850099292635,29.0,9.159217938255407e-12,22.0,,,,,,,,1.0,0.5753750675199247,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_MARKET_TAIL_20,ALTERNATIVE_MARKET_ACTIVATION,BINARY_PAIR,CPU_TOP_20,MARKET_BOTTOM_20,CPU top 20% and market bottom 20%,ETF_FE_DATE_CLUSTER,CPU_MARKET_TAIL_20_AB_X_ARCH,RELIABLE_ESTIMATE,0.0028531341465966135,0.007980675125350686,0.35750536161202795,0.7211082384610106,-0.012888444190838289,0.018594712484031516,1777,23,192,DATE_CLUSTER,False,VALID,6.36911754563912e-05,0.0,0.0,0.0,9.458876053376343e-07,CPU_TOP_20|MARKET_BOTTOM_20|CPU_MARKET_TAIL_20_AB|CPU_MARKET_TAIL_20_A_X_ARCH|CPU_MARKET_TAIL_20_B_X_ARCH|CPU_MARKET_TAIL_20_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,24.927498536881703,1.0,2.9864187156489863e-17,191.0,,,,,,,,1.0,0.8454046152397106,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_MARKET_TAIL_20,ALTERNATIVE_MARKET_ACTIVATION,BINARY_PAIR,CPU_TOP_20,MARKET_BOTTOM_20,CPU top 20% and market bottom 20%,ETF_MONTH_FE,CPU_MARKET_TAIL_20_AB_X_ARCH,RELIABLE_ESTIMATE,0.0027328755064851672,0.006342492116003988,0.43088354805980955,0.6707453615580444,-0.010420648076289117,0.01588639908925945,1777,23,192,ETF_CLUSTER,True,VALID,4.0227206241572736e-05,0.0,0.0,0.0,2.2396606256589185e-06,CPU_MARKET_TAIL_20_A_X_ARCH|CPU_MARKET_TAIL_20_B_X_ARCH|CPU_MARKET_TAIL_20_AB_X_ARCH,3.0,3.0,2.7997093053868145,30.0,6.939647329717243e-12,22.0,,,,,,,,1.0,0.7060477490084679,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_TOP20_NEGATIVE_MARKET,ALTERNATIVE_MARKET_ACTIVATION,BINARY_PAIR,CPU_TOP_20,NEGATIVE_MARKET,CPU top 20% and negative market return,ETF_FE_DATE_CLUSTER,CPU_TOP20_NEGATIVE_MARKET_AB_X_ARCH,RELIABLE_ESTIMATE,0.007559696251909721,0.006510301977058423,1.161189800188877,0.24701386529744618,-0.005281626939744345,0.020401019443563786,1777,23,192,DATE_CLUSTER,False,VALID,4.238403183249081e-05,0.0,0.0,0.0,1.0013614667649049e-06,CPU_TOP_20|NEGATIVE_MARKET|CPU_TOP20_NEGATIVE_MARKET_AB|CPU_TOP20_NEGATIVE_MARKET_A_X_ARCH|CPU_TOP20_NEGATIVE_MARKET_B_X_ARCH|CPU_TOP20_NEGATIVE_MARKET_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,28.3825800301477,1.0,2.9864187156489863e-17,191.0,,,,,,,,1.0,0.49402773059489236,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_TOP20_NEGATIVE_MARKET,ALTERNATIVE_MARKET_ACTIVATION,BINARY_PAIR,CPU_TOP_20,NEGATIVE_MARKET,CPU top 20% and negative market return,ETF_MONTH_FE,CPU_TOP20_NEGATIVE_MARKET_AB_X_ARCH,RELIABLE_ESTIMATE,0.007601786027322479,0.008840794804092743,0.859853236702578,0.3991432628660674,-0.010732900215751304,0.025936472270396263,1777,23,192,ETF_CLUSTER,True,VALID,7.815965276807325e-05,0.0,0.0,0.0,1.1651689176349292e-06,CPU_TOP20_NEGATIVE_MARKET_A_X_ARCH|CPU_TOP20_NEGATIVE_MARKET_B_X_ARCH|CPU_TOP20_NEGATIVE_MARKET_AB_X_ARCH,3.0,3.0,2.9801615254406304,30.0,6.939647329717243e-12,22.0,,,,,,,,1.0,0.58952128001883,True
