CHANNEL,family,N_MODELS,EXPECTED_SIGN_RATE,MEDIAN_COEFFICIENT,N_RAW_P_LT_05,N_BH_Q_LT_10,MIN_P
EXTERNAL_FINANCING_DEPENDENCE,ALTERNATIVE_CPU_MEASURE,6,0.6666666666666666,-0.007101075511302721,5,5,0.0012787387126777505
EXTERNAL_FINANCING_DEPENDENCE,ALTERNATIVE_MARKET_ACTIVATION,5,1.0,-0.01110713701170656,3,2,0.0006621734829814906
EXTERNAL_FINANCING_DEPENDENCE,ALTERNATIVE_STRESS_THRESHOLD,4,1.0,-0.02360657019498054,3,3,0.00010707097069850805
GROWTH_DURATION_EXPOSURE_FINAL,ALTERNATIVE_CPU_MEASURE,6,0.5,-0.0002164048955896226,0,0,0.14009246626681318
GROWTH_DURATION_EXPOSURE_FINAL,ALTERNATIVE_MARKET_ACTIVATION,5,0.4,0.0004570220582351708,0,0,0.44032859885827363
GROWTH_DURATION_EXPOSURE_FINAL,ALTERNATIVE_STRESS_THRESHOLD,4,0.75,-0.00648141716798771,1,1,0.0047040154559348365
INTERNAL_FINANCIAL_CAPACITY,ALTERNATIVE_CPU_MEASURE,6,0.5,-1.8689645046493985e-05,1,1,0.031635171657751544
INTERNAL_FINANCIAL_CAPACITY,ALTERNATIVE_MARKET_ACTIVATION,5,0.6,0.0016126696666287311,0,0,0.24701386529744618
INTERNAL_FINANCIAL_CAPACITY,ALTERNATIVE_STRESS_THRESHOLD,4,0.5,-0.0003072403986581067,1,1,0.0037800478750029446
PORTFOLIO_CONCENTRATION_FINAL,ALTERNATIVE_CPU_MEASURE,6,0.8333333333333334,-0.0025106946691397358,3,2,0.013058258732357284
PORTFOLIO_CONCENTRATION_FINAL,ALTERNATIVE_MARKET_ACTIVATION,5,1.0,-0.010615744728978504,1,0,0.01996066515438071
PORTFOLIO_CONCENTRATION_FINAL,ALTERNATIVE_STRESS_THRESHOLD,4,1.0,-0.010155592489393777,1,1,0.0012101076473374384
