CHANNEL,EXPECTED_SIGN,name,family,kind,a,b,description,MODEL_VARIANT,FOCAL_REGRESSOR,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,COVARIANCE_METHOD,MONTH_FE,COVARIANCE_STATUS,TARGET_VARIANCE,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,NONFINITE_COV_ELEMENTS,MIN_COV_EIGENVALUE,REGRESSORS,DESIGN_RANK,N_REGRESSORS,CONDITION_NUMBER,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DF_INFERENCE,cont,binary,cpu,vix,SAMPLE_WINDOW,ERROR_MESSAGE,shock,HOLM_P_WITHIN_FAMILY,BH_Q_WITHIN_FAMILY,EXPECTED_SIGN_MATCH
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_TOP_10,ALTERNATIVE_STRESS_THRESHOLD,BINARY_PAIR,CPU_TOP_10,VIX_TOP_10,CPU and VIX top 10% jointly,ETF_FE_DATE_CLUSTER,CPU_VIX_TOP_10_AB_X_ARCH,RELIABLE_ESTIMATE,0.016304757322687723,0.005561073517340194,2.9319442139808514,0.0037800478750029446,0.005335751187433142,0.027273763457942305,1777,23,192,DATE_CLUSTER,False,VALID,3.092553866526244e-05,0.0,0.0,0.0,1.220499457193489e-07,CPU_TOP_10|VIX_TOP_10|CPU_VIX_TOP_10_AB|CPU_VIX_TOP_10_A_X_ARCH|CPU_VIX_TOP_10_B_X_ARCH|CPU_VIX_TOP_10_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,17.94908499012453,1.0,5.45427518569365e-17,191.0,,,,,,,,0.04536057450003533,0.012096153200009422,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_TOP_20,ALTERNATIVE_STRESS_THRESHOLD,BINARY_PAIR,CPU_TOP_20,VIX_TOP_20,CPU and VIX top 20% jointly,ETF_FE_DATE_CLUSTER,CPU_VIX_TOP_20_AB_X_ARCH,RELIABLE_ESTIMATE,-0.002100988942478906,0.007153688854735517,-0.2936930841055685,0.7693113264596139,-0.016211368295066045,0.012009390410108234,1777,23,192,DATE_CLUSTER,False,VALID,5.117526423036715e-05,0.0,0.0,0.0,1.322174570104775e-06,CPU_TOP_20|VIX_TOP_20|CPU_VIX_TOP_20_AB|CPU_VIX_TOP_20_A_X_ARCH|CPU_VIX_TOP_20_B_X_ARCH|CPU_VIX_TOP_20_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,21.147127641198246,1.0,2.9864187156489863e-17,191.0,,,,,,,,1.0,0.7775405391135306,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_TOP_25,ALTERNATIVE_STRESS_THRESHOLD,BINARY_PAIR,CPU_TOP_25,VIX_TOP_25,CPU and VIX top 25% jointly,ETF_FE_DATE_CLUSTER,CPU_VIX_TOP_25_AB_X_ARCH,RELIABLE_ESTIMATE,-0.007142148045875695,0.006292078177215573,-1.1351016062925496,0.25775518310816964,-0.01955303308707717,0.005268736995325781,1777,23,192,DATE_CLUSTER,False,VALID,3.959024778819245e-05,0.0,0.0,0.0,8.63096331641404e-07,CPU_TOP_25|VIX_TOP_25|CPU_VIX_TOP_25_AB|CPU_VIX_TOP_25_A_X_ARCH|CPU_VIX_TOP_25_B_X_ARCH|CPU_VIX_TOP_25_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,25.038090194764308,1.0,3.148859901019015e-17,191.0,,,,,,,,1.0,0.3172371484408242,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_MARKET_TAIL_10,ALTERNATIVE_MARKET_ACTIVATION,BINARY_PAIR,CPU_TOP_10,MARKET_BOTTOM_10,CPU top 10% and market bottom 10%,ETF_FE_DATE_CLUSTER,CPU_MARKET_TAIL_10_AB_X_ARCH,RELIABLE_ESTIMATE,-0.007190911230309929,0.0065415084063929745,-1.0992741709667906,0.27303215566814953,-0.020093787917662753,0.005711965457042896,1777,23,192,DATE_CLUSTER,False,VALID,4.2791332230909956e-05,0.0,0.0,0.0,1.625347979646047e-06,CPU_TOP_10|MARKET_BOTTOM_10|CPU_MARKET_TAIL_10_AB|CPU_MARKET_TAIL_10_A_X_ARCH|CPU_MARKET_TAIL_10_B_X_ARCH|CPU_MARKET_TAIL_10_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,20.934005618121766,1.0,5.45427518569365e-17,191.0,,,,,,,,1.0,0.4964221012148173,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_MARKET_TAIL_20,ALTERNATIVE_MARKET_ACTIVATION,BINARY_PAIR,CPU_TOP_20,MARKET_BOTTOM_20,CPU top 20% and market bottom 20%,ETF_FE_DATE_CLUSTER,CPU_MARKET_TAIL_20_AB_X_ARCH,RELIABLE_ESTIMATE,0.0028531341465966135,0.007980675125350686,0.35750536161202795,0.7211082384610106,-0.012888444190838289,0.018594712484031516,1777,23,192,DATE_CLUSTER,False,VALID,6.36911754563912e-05,0.0,0.0,0.0,9.458876053376343e-07,CPU_TOP_20|MARKET_BOTTOM_20|CPU_MARKET_TAIL_20_AB|CPU_MARKET_TAIL_20_A_X_ARCH|CPU_MARKET_TAIL_20_B_X_ARCH|CPU_MARKET_TAIL_20_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,24.927498536881703,1.0,2.9864187156489863e-17,191.0,,,,,,,,1.0,0.8454046152397106,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_TOP20_NEGATIVE_MARKET,ALTERNATIVE_MARKET_ACTIVATION,BINARY_PAIR,CPU_TOP_20,NEGATIVE_MARKET,CPU top 20% and negative market return,ETF_FE_DATE_CLUSTER,CPU_TOP20_NEGATIVE_MARKET_AB_X_ARCH,RELIABLE_ESTIMATE,0.007559696251909721,0.006510301977058423,1.161189800188877,0.24701386529744618,-0.005281626939744345,0.020401019443563786,1777,23,192,DATE_CLUSTER,False,VALID,4.238403183249081e-05,0.0,0.0,0.0,1.0013614667649049e-06,CPU_TOP_20|NEGATIVE_MARKET|CPU_TOP20_NEGATIVE_MARKET_AB|CPU_TOP20_NEGATIVE_MARKET_A_X_ARCH|CPU_TOP20_NEGATIVE_MARKET_B_X_ARCH|CPU_TOP20_NEGATIVE_MARKET_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,28.3825800301477,1.0,2.9864187156489863e-17,191.0,,,,,,,,1.0,0.49402773059489236,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_CONT_NEGATIVE_MARKET,ALTERNATIVE_MARKET_ACTIVATION,CONT_BINARY,,,Continuous CPU activated by negative market returns,ETF_FE_DATE_CLUSTER,CPU_CONT_NEGATIVE_MARKET_CB_X_ARCH,RELIABLE_ESTIMATE,0.0016126696666287311,0.0029437969433862943,0.5478196008905604,0.5844554046923198,-0.004193857909793633,0.0074191972430510955,1777,23,192,DATE_CLUSTER,False,VALID,8.66594044389049e-06,0.0,0.0,0.0,2.594441739394602e-07,CPU_Z|NEGATIVE_MARKET|CPU_CONT_NEGATIVE_MARKET_C_X_B|CPU_CONT_NEGATIVE_MARKET_C_X_ARCH|CPU_CONT_NEGATIVE_MARKET_B_X_ARCH|CPU_CONT_NEGATIVE_MARKET_CB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,54.20769370147394,1.0,7.55663898865575e-17,191.0,CPU_Z,NEGATIVE_MARKET,,,,,,1.0,0.7516674083813947,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_CONT_MARKET_BOTTOM20,ALTERNATIVE_MARKET_ACTIVATION,CONT_BINARY,,,Continuous CPU activated by bottom-quintile market returns,ETF_FE_DATE_CLUSTER,CPU_CONT_MARKET_BOTTOM20_CB_X_ARCH,RELIABLE_ESTIMATE,-0.002310825447720671,0.004107479307565559,-0.5625896747585231,0.574374042118506,-0.01041267225564908,0.005791021360207738,1777,23,192,DATE_CLUSTER,False,VALID,1.6871386262079245e-05,0.0,0.0,0.0,2.9685298701717047e-07,CPU_Z|MARKET_BOTTOM_20|CPU_CONT_MARKET_BOTTOM20_C_X_B|CPU_CONT_MARKET_BOTTOM20_C_X_ARCH|CPU_CONT_MARKET_BOTTOM20_B_X_ARCH|CPU_CONT_MARKET_BOTTOM20_CB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,50.99195969396004,1.0,1.836834942261092e-17,191.0,CPU_Z,MARKET_BOTTOM_20,,,,,,1.0,0.7516674083813947,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_CONT_HIGH_VIX,ALTERNATIVE_STRESS_THRESHOLD,CONT_BINARY,,,Continuous CPU activated by high VIX regime,ETF_FE_DATE_CLUSTER,CPU_CONT_HIGH_VIX_CB_X_ARCH,RELIABLE_ESTIMATE,0.0014865081451626925,0.0033871775211177088,0.43886337102053363,0.661256574782565,-0.005194570767835913,0.008167587058161297,1777,23,192,DATE_CLUSTER,False,VALID,1.1472971559565106e-05,0.0,0.0,0.0,2.9544918561475705e-07,CPU_Z|HIGH_VIX_REGIME|CPU_CONT_HIGH_VIX_C_X_B|CPU_CONT_HIGH_VIX_C_X_ARCH|CPU_CONT_HIGH_VIX_B_X_ARCH|CPU_CONT_HIGH_VIX_CB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,45.48506132918794,1.0,4.838873002657196e-17,191.0,CPU_Z,HIGH_VIX_REGIME,,,,,,1.0,0.7557217997515029,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,LOG_CPU_Z_VIX_CONTINUOUS,ALTERNATIVE_CPU_MEASURE,CONTINUOUS,,,LOG_CPU_Z x VIX x architecture,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,-0.0009613936887733749,0.0021703413365640983,-0.44296888815441926,0.658289524891129,-0.005242309479966624,0.0033195221024198748,1777,23,192,DATE_CLUSTER,False,VALID,4.710381517198836e-06,0.0,0.0,0.0,1.7012538697343307e-07,LOG_CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,50.15626664550899,1.0,1.1027257391465399e-16,191.0,,,LOG_CPU_Z,VIX_LEVEL_Z,,,,1.0,0.7307534415167739,False
