CHANNEL,EXPECTED_SIGN,name,family,kind,a,b,description,MODEL_VARIANT,FOCAL_REGRESSOR,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,COVARIANCE_METHOD,MONTH_FE,COVARIANCE_STATUS,TARGET_VARIANCE,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,NONFINITE_COV_ELEMENTS,MIN_COV_EIGENVALUE,REGRESSORS,DESIGN_RANK,N_REGRESSORS,CONDITION_NUMBER,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DF_INFERENCE,cont,binary,cpu,vix,SAMPLE_WINDOW,ERROR_MESSAGE,shock,HOLM_P_WITHIN_FAMILY,BH_Q_WITHIN_FAMILY,EXPECTED_SIGN_MATCH
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_CONTINUOUS,SAMPLE_WINDOW_STABILITY,CONTINUOUS,,,FULL_SAMPLE,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,-9.613480630341352e-05,0.001769035451431982,-0.05434306374448021,0.9567186396793698,-0.0035854899928036777,0.0033932203801968503,1777,23,192,DATE_CLUSTER,False,VALID,3.1294864284231567e-06,0.0,0.0,0.0,1.9385320677641784e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,48.57442769879292,1.0,1.1027257391465399e-16,191.0,,,,,FULL_SAMPLE,,,1.0,0.9567186396793698,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_AND_VIX_STRESS,SAMPLE_WINDOW_STABILITY,BINARY_PAIR,HIGH_CPU_REGIME,HIGH_VIX_REGIME,FULL_SAMPLE,ETF_FE_DATE_CLUSTER,CPU_AND_VIX_STRESS_AB_X_ARCH,RELIABLE_ESTIMATE,-0.007142148045875695,0.006292078177215573,-1.1351016062925496,0.25775518310816964,-0.01955303308707717,0.005268736995325781,1777,23,192,DATE_CLUSTER,False,VALID,3.959024778819245e-05,0.0,0.0,0.0,8.63096331641404e-07,HIGH_CPU_REGIME|HIGH_VIX_REGIME|CPU_AND_VIX_STRESS_AB|CPU_AND_VIX_STRESS_A_X_ARCH|CPU_AND_VIX_STRESS_B_X_ARCH|CPU_AND_VIX_STRESS_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,25.038090194764308,1.0,3.148859901019015e-17,191.0,,,,,FULL_SAMPLE,,,1.0,0.48687090142654266,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_CONTINUOUS,SAMPLE_WINDOW_STABILITY,CONTINUOUS,,,EXCLUDE_2020,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,0.0020236893421531456,0.001644180281467047,1.2308196156856201,0.22000518892636217,-0.001220780541480782,0.005268159225787073,1619,23,180,DATE_CLUSTER,False,VALID,2.703328797965058e-06,0.0,0.0,0.0,2.6058432492440807e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,50.014259676092465,1.0,2.5921204651532377e-17,179.0,,,,,EXCLUDE_2020,,,1.0,0.4675110264685196,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_AND_VIX_STRESS,SAMPLE_WINDOW_STABILITY,BINARY_PAIR,HIGH_CPU_REGIME,HIGH_VIX_REGIME,EXCLUDE_2020,ETF_FE_DATE_CLUSTER,CPU_AND_VIX_STRESS_AB_X_ARCH,RELIABLE_ESTIMATE,0.000625149717255658,0.006241032212494163,0.10016767995591286,0.9203233042101031,-0.01169031306043875,0.012940612494950066,1619,23,180,DATE_CLUSTER,False,VALID,3.895048307738979e-05,0.0,0.0,0.0,7.693029421984571e-07,HIGH_CPU_REGIME|HIGH_VIX_REGIME|CPU_AND_VIX_STRESS_AB|CPU_AND_VIX_STRESS_A_X_ARCH|CPU_AND_VIX_STRESS_B_X_ARCH|CPU_AND_VIX_STRESS_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,26.811080178319415,1.0,1.4482958789427614e-16,179.0,,,,,EXCLUDE_2020,,,1.0,0.9567186396793698,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_CONTINUOUS,SAMPLE_WINDOW_STABILITY,CONTINUOUS,,,EXCLUDE_2022,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,0.001147533410458075,0.0015146486329127506,0.7576235078701432,0.44967261585344337,-0.0018413309672292153,0.004136397788145365,1576,23,180,DATE_CLUSTER,False,VALID,2.294160481184464e-06,0.0,0.0,0.0,1.6987213925961025e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,49.17176682114433,1.0,1.165170610869295e-16,179.0,,,,,EXCLUDE_2022,,,1.0,0.6505901676177479,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_AND_VIX_STRESS,SAMPLE_WINDOW_STABILITY,BINARY_PAIR,HIGH_CPU_REGIME,HIGH_VIX_REGIME,EXCLUDE_2022,ETF_FE_DATE_CLUSTER,CPU_AND_VIX_STRESS_AB_X_ARCH,RELIABLE_ESTIMATE,-0.0031707771194828703,0.0075709737404105505,-0.4188070422908281,0.6758592532997573,-0.018110620740906115,0.011769066501940376,1576,23,180,DATE_CLUSTER,False,VALID,5.7319643377986125e-05,0.0,0.0,0.0,1.2980598491030397e-06,HIGH_CPU_REGIME|HIGH_VIX_REGIME|CPU_AND_VIX_STRESS_AB|CPU_AND_VIX_STRESS_A_X_ARCH|CPU_AND_VIX_STRESS_B_X_ARCH|CPU_AND_VIX_STRESS_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,23.2414713369468,1.0,2.9005985430800013e-17,179.0,,,,,EXCLUDE_2022,,,1.0,0.806288232006728,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_CONTINUOUS,SAMPLE_WINDOW_STABILITY,CONTINUOUS,,,EXCLUDE_2020_2022,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,0.0025017810125885663,0.0030649317852044417,0.8162599326567683,0.41560417365443536,-0.003552645793466068,0.008556207818643202,1229,23,156,DATE_CLUSTER,False,VALID,9.393806847956487e-06,0.0,0.0,0.0,1.795859423151095e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,52.28099517262232,1.0,5.3546354584748703e-17,155.0,,,,,EXCLUDE_2020_2022,,,1.0,0.6333875479144275,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_AND_VIX_STRESS,SAMPLE_WINDOW_STABILITY,BINARY_PAIR,HIGH_CPU_REGIME,HIGH_VIX_REGIME,EXCLUDE_2020_2022,ETF_FE_DATE_CLUSTER,CPU_AND_VIX_STRESS_AB_X_ARCH,RELIABLE_ESTIMATE,0.011387466060052623,0.013097387305411651,0.8694456225897426,0.3859478053841346,-0.014484944273502184,0.03725987639360743,1229,23,156,DATE_CLUSTER,False,VALID,0.00017154155422795825,0.0,0.0,0.0,1.0039625134520483e-06,HIGH_CPU_REGIME|HIGH_VIX_REGIME|CPU_AND_VIX_STRESS_AB|CPU_AND_VIX_STRESS_A_X_ARCH|CPU_AND_VIX_STRESS_B_X_ARCH|CPU_AND_VIX_STRESS_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,23.32997793502788,1.0,2.741681757312734e-17,155.0,,,,,EXCLUDE_2020_2022,,,1.0,0.6333875479144275,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_CONTINUOUS,SAMPLE_WINDOW_STABILITY,CONTINUOUS,,,EXCLUDE_PANDEMIC_2020M03_2021M12,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,0.0004174926197792319,0.002915029552535572,0.14322071603565234,0.8862864914153843,-0.0053370685240624795,0.006172053763620943,1454,23,170,DATE_CLUSTER,False,VALID,8.497397292155737e-06,0.0,0.0,0.0,1.5850111880357375e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,46.23994555008449,1.0,7.238593035382726e-17,169.0,,,,,EXCLUDE_PANDEMIC_2020M03_2021M12,,,1.0,0.956626689146764,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_AND_VIX_STRESS,SAMPLE_WINDOW_STABILITY,BINARY_PAIR,HIGH_CPU_REGIME,HIGH_VIX_REGIME,EXCLUDE_PANDEMIC_2020M03_2021M12,ETF_FE_DATE_CLUSTER,CPU_AND_VIX_STRESS_AB_X_ARCH,RELIABLE_ESTIMATE,-0.00284948389499291,0.007098032353088131,-0.40144701422122836,0.6885982063939186,-0.0168617127388766,0.01116274494889078,1454,23,170,DATE_CLUSTER,False,VALID,5.038206328548583e-05,0.0,0.0,0.0,5.322312319468358e-07,HIGH_CPU_REGIME|HIGH_VIX_REGIME|CPU_AND_VIX_STRESS_AB|CPU_AND_VIX_STRESS_A_X_ARCH|CPU_AND_VIX_STRESS_B_X_ARCH|CPU_AND_VIX_STRESS_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,26.1754071139379,1.0,4.3065047172530145e-17,169.0,,,,,EXCLUDE_PANDEMIC_2020M03_2021M12,,,1.0,0.8073220350825252,False
