CHANNEL,TEST,SAMPLE_DESIGN,OBSERVED_COEFFICIENT,DATE_CLUSTERED_P_VALUE,N_OBSERVATIONS,N_ETFS,N_DATES,N_PERMUTATIONS_REQUESTED,N_VALID_PERMUTATIONS,PERMUTATION_MEAN,PERMUTATION_STD,TWO_SIDED_PERMUTATION_P,THEORY_DIRECTED_PERMUTATION_P,OBSERVED_PERCENTILE,EXPECTED_SIGN,ROMANO_WOLF_APPROX_P,STANDARDIZED_OBSERVED_STAT
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,AVAILABLE_CROSS_SECTION,-9.613480630348322e-05,0.9567186396793698,1777,23,192,5000,5000,1.9378309248705257e-05,0.002198387004833688,0.9466106778644271,0.4621075784843031,53.800000000000004,POSITIVE,0.9466106778644271,0.05254448616108312
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,BALANCED_COMMON_DATES,0.0068591250115183225,,667,23,29,5000,5000,-9.890450704892612e-06,0.0018208061750674602,0.0001999600079984003,0.0001999600079984003,100.0,POSITIVE,,
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,AVAILABLE_CROSS_SECTION,-0.0065355912218851165,0.0044495389718504615,883,11,192,5000,5000,-0.0001143515344877936,0.002650504561769759,0.014797040591881624,0.014797040591881624,1.46,NEGATIVE,0.06598680263947211,2.42264804219383
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,BALANCED_COMMON_DATES,-0.0021054240946862183,,319,11,29,5000,5000,-1.279887500326386e-05,0.0016289208095406557,0.21215756848630274,0.1231753649270146,12.3,NEGATIVE,,
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,AVAILABLE_CROSS_SECTION,-0.001673869624966302,0.42219362998016324,965,13,192,5000,5000,1.1943027288206538e-05,0.0013449912648775023,0.21115776844631073,0.10597880423915217,10.58,NEGATIVE,0.40771845630873826,1.2534004467367648
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,BALANCED_COMMON_DATES,0.004345272526496247,,377,13,29,5000,5000,2.5826965993121776e-05,0.002190214953150676,0.047390521895620874,0.977004599080184,97.7,NEGATIVE,,
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,AVAILABLE_CROSS_SECTION,-0.0033958632930821855,0.03369727556762424,1828,24,192,5000,5000,-7.788925692871478e-05,0.002341651416918221,0.16096780643871225,0.07998400319936012,7.9799999999999995,NEGATIVE,0.40771845630873826,1.4169376416068604
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,BALANCED_COMMON_DATES,0.00273499873062694,,696,24,29,5000,5000,-4.4114455524986904e-05,0.001927976760914234,0.15896820635872824,0.9178164367126574,91.78,NEGATIVE,,
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,AVAILABLE_CROSS_SECTION,-0.00714214804587566,0.25775518310816964,1777,23,192,5000,5000,0.00011563371478702309,0.007381625739350061,0.29414117176564686,0.8630273945210958,13.700000000000001,POSITIVE,0.29414117176564686,0.983222668953915
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,BALANCED_COMMON_DATES,,,667,23,29,5000,0,,,1.0,1.0,,POSITIVE,,
EXTERNAL_FINANCING_DEPENDENCE,CPU_AND_VIX_STRESS,AVAILABLE_CROSS_SECTION,-0.01612435794437476,0.13584349108692334,883,11,192,5000,5000,-0.00021252149249125328,0.006788095680062012,0.01859628074385123,0.01759648070385923,1.7399999999999998,NEGATIVE,0.05898820235952809,2.344079577225133
EXTERNAL_FINANCING_DEPENDENCE,CPU_AND_VIX_STRESS,BALANCED_COMMON_DATES,,,319,11,29,5000,0,,,1.0,1.0,,NEGATIVE,,
GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,AVAILABLE_CROSS_SECTION,-0.01287492024523653,0.058796091263410136,965,13,192,5000,5000,-3.715528388062056e-05,0.005251235221648289,0.006998600279944011,0.003799240151969606,0.36,NEGATIVE,0.052389522095580884,2.4447133711382913
GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,BALANCED_COMMON_DATES,,,377,13,29,5000,0,,,1.0,1.0,,NEGATIVE,,
PORTFOLIO_CONCENTRATION_FINAL,CPU_AND_VIX_STRESS,AVAILABLE_CROSS_SECTION,-0.01214263013751609,0.07316050860725759,1828,24,192,5000,5000,0.0001368202453343637,0.006129046301645675,0.041791641671665665,0.01979604079184163,1.96,NEGATIVE,0.08958208358328335,2.003484682364593
PORTFOLIO_CONCENTRATION_FINAL,CPU_AND_VIX_STRESS,BALANCED_COMMON_DATES,,,696,24,29,5000,0,,,1.0,1.0,,NEGATIVE,,
