VARIABLE,REFERENCE_N,REFERENCE_MATCH_THRESHOLD,LOWER_WINSOR_LIMIT,UPPER_WINSOR_LIMIT,REFERENCE_MEAN,REFERENCE_STD
EFFECTIVE_NUMBER_OF_HOLDINGS,37,0.8,16.675431716154527,263.9188784157367,57.89434701374007,56.20105955476337
HHI,37,0.8,0.003806570046731588,0.05998109425406812,0.027128973193298146,0.014717850684346757
PW_CAPEX_INTENSITY,37,0.8,0.022367265473225536,0.05124008801356503,0.03661773740831815,0.007842217020142582
PW_CASH_RATIO,37,0.8,0.06880739421037828,0.15117010184012436,0.10239926921519382,0.021011821872121195
PW_EXTERNAL_FINANCE_DEPENDENCE,37,0.8,-0.15822436475407167,0.028381378614970504,-0.10426493711508993,0.04314897921852226
PW_LEVERAGE,37,0.8,0.020645169293856302,0.08023893438371316,0.042204322469674115,0.014580966925645904
PW_RD_INTENSITY,37,0.8,0.03899769197209501,0.10654045072790543,0.07577563400589059,0.017293915670333816
PW_REVENUE_GROWTH,37,0.8,-0.01921487558940387,0.15488135322387891,0.08820742439714918,0.03600714289824348
PW_ROA,37,0.8,-0.059389617981681485,0.15325228776045954,0.09376774906869198,0.05372067213134352
TOP10_WEIGHT,37,0.8,0.07107333581200607,0.6252305570884142,0.3633896747684697,0.13841485811685436
