ZIP URL: https://www.sec.gov/files/dera/data/form-n-port-data-sets/2024q4_nport.zip
ZIP SHA256: 449963cd187fc40774dd947c6302863c9d958369f747b196d957eab999501465
Extracted files: 32

BORROW_AGGREGATE.tsv	0.0796 MB
BORROWER.tsv	2.4730 MB
CONVERTIBLE_SECURITY_CURRENCY.tsv	0.3383 MB
DEBT_SECURITY.tsv	118.2256 MB
DEBT_SECURITY_REF_INSTRUMENT.tsv	1.6539 MB
DERIVATIVE_COUNTERPARTY.tsv	49.7016 MB
DESC_REF_INDEX_BASKET.tsv	1.0308 MB
DESC_REF_INDEX_COMPONENT.tsv	4.1947 MB
DESC_REF_OTHER.tsv	8.3241 MB
EXPLANATORY_NOTE.tsv	3.1925 MB
FLOATING_RATE_RESET_TENOR.tsv	1.7022 MB
FUND_REPORTED_HOLDING.tsv	811.7541 MB
FUND_REPORTED_INFO.tsv	3.9276 MB
FUND_VAR_INFO.tsv	0.2588 MB
FUT_FWD_NONFOREIGNCUR_CONTRACT.tsv	1.3644 MB
FWD_FOREIGNCUR_CONTRACT_SWAP.tsv	5.6740 MB
IDENTIFIERS.tsv	227.2456 MB
INTEREST_RATE_RISK.tsv	1.1560 MB
MONTHLY_RETURN_CAT_INSTRUMENT.tsv	17.1526 MB
MONTHLY_TOTAL_RETURN.tsv	1.6771 MB
NONFOREIGN_EXCHANGE_SWAP.tsv	6.2296 MB
nport_metadata.json	0.1231 MB
nport_readme.htm	0.0825 MB
OTHER_DERIV.tsv	0.0177 MB
OTHER_DERIV_NOTIONAL_AMOUNT.tsv	0.0133 MB
REGISTRANT.tsv	1.8719 MB
REPURCHASE_AGREEMENT.tsv	0.3957 MB
REPURCHASE_COLLATERAL.tsv	0.4520 MB
REPURCHASE_COUNTERPARTY.tsv	0.4728 MB
SECURITIES_LENDING.tsv	93.2206 MB
SUBMISSION.tsv	0.8285 MB
SWAPTION_OPTION_WARNT_DERIV.tsv	1.3738 MB
