CHANNEL,QUARTER_1,QUARTER_2,N_ETFS,PEARSON_R,PEARSON_P,SPEARMAN_RHO,SPEARMAN_P,KENDALL_TAU,KENDALL_P
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2024Q4,55,0.8825714391045785,5.244544390848668e-19,0.8942960288808663,3.75927480185309e-20,0.7243720298710116,8.975045416566365e-15
INTERNAL_FINANCIAL_CAPACITY,2024Q4,2025Q4,60,0.9061850081336851,2.400247956686503e-23,0.8545100764419736,3.844166464168095e-18,0.7079545454545455,1.8470927677086183e-15
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,54,0.7641062356063812,1.792283313435004e-11,0.7325044811410701,3.062703252819285e-10,0.5752461322081573,1.016533761395847e-09
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2024Q4,56,0.974873055960104,6.725269941599408e-37,0.9736572015053029,2.3719764211708617e-36,0.8727034120734908,4.881840549770435e-21
EXTERNAL_FINANCING_DEPENDENCE,2024Q4,2025Q4,63,0.952517311444373,3.35267690865892e-33,0.9399783879568983,3.545375230933902e-30,0.864697198820132,3.8290955054971114e-23
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,56,0.9546080222549902,4.4689220043758714e-30,0.9305560444144984,3.172142245385653e-25,0.8210184608630768,8.968445729961422e-19
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2024Q4,56,0.9311676866253851,2.518007747282798e-25,0.9359432442431285,3.8436690623330397e-26,0.7943865922092568,7.571304396969517e-18
GROWTH_DURATION_EXPOSURE_FINAL,2024Q4,2025Q4,63,0.809549427543857,9.659518572573861e-16,0.7922503557342766,1.0429676132141053e-14,0.6563870749606172,3.5491851442915835e-14
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,56,0.7627127047480301,8.419192091504907e-12,0.7653071801662568,6.48949143128832e-12,0.6108225501004199,3.47424162296331e-11
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2024Q4,56,0.9625949543622332,2.662074122323166e-32,0.9619958988380042,4.057026820632802e-32,0.8428571428571429,4.572240565527506e-20
PORTFOLIO_CONCENTRATION_FINAL,2024Q4,2025Q4,63,0.9699629105503288,3.7140055556808354e-39,0.9604454685099846,1.431366398886114e-35,0.8504864311315923,6.750176383732084e-23
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,56,0.9279539072527168,8.28046949541406e-25,0.9196855775803146,1.3974261520238945e-23,0.7610389610389611,1.1995822695378332e-16
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2024Q4,56,0.9029066757748269,1.882496530266507e-21,0.8821880341880344,2.6546255786548333e-19,0.7222946544980442,4.717763212373835e-15
FINANCIAL_ARCHITECTURE_RISK_FINAL,2024Q4,2025Q4,63,0.9208074291192376,1.2538060248675442e-26,0.8474751248593265,1.991778943313046e-18,0.7021058964070654,5.06262387307789e-16
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,56,0.917740783514495,2.5994551451435952e-23,0.8968652834910993,8.87269289533218e-21,0.7385220065685031,1.0831320252175962e-15
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2024Q4,56,0.9245460631631239,2.7591280759552133e-24,0.9302802460697198,3.5178598089771237e-25,0.7792207792207793,2.2318619272321008e-17
EXTENDED_ARCHITECTURE_RISK_FINAL,2024Q4,2025Q4,63,0.9298293891407814,3.5816324032449067e-28,0.8979934715821812,2.0124439112978555e-23,0.7470558115719406,4.996127575820282e-18
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,56,0.9254000922001635,2.051691794641591e-24,0.9156527682843473,4.9772022128900316e-23,0.7623376623376624,1.065167314551617e-16
