MODEL_FAMILY,CHANNEL,OUTCOME,HORIZON,FOCAL_TERM,STATUS,N_OBS,N_ETFS,N_DATES,COEFFICIENT,STD_ERROR,T_STAT,P_VALUE,CI_LOW_95,CI_HIGH_95,R_SQUARED_WITHIN_TRANSFORMED,P_HOLM_FAMILY,Q_BH_FAMILY
CPU_PRICING,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.00022798002976806905,0.000979397244573354,-0.23277585375215337,0.8159354638389492,-0.002147598629131843,0.0016916385695957049,0.0026776337031746422,1.0,0.8159372443448712
CONTINUOUS_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,CPU_VIX_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.00017060507806930273,0.001574726458858178,-0.1083395005587238,0.9137263900862993,-0.0032570689374313315,0.002915858781292726,0.003148695193039175,1.0,0.9137263900862993
JOINT_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.002100635410694683,0.0032968429476585865,-0.6371657503996517,0.5240168842885102,-0.008562447588105513,0.004361176766716146,0.003030035201284198,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.0035869287254903736,0.0026558153041171487,-1.3505941922730005,0.17682546224255813,-0.008792326721559985,0.0016184692705792383,0.004012036422670895,0.8841273112127906,0.21219055469106973
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4279,47,189,-0.017396777175676604,0.0046004178156178925,-3.7815646041141164,0.00015584576479678905,-0.026413596094287672,-0.008379958257065535,0.012391647342473888,0.00327276106073257,0.0009350745887807343
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4138,47,186,-0.03776464433097048,0.007089986973108178,-5.326475841804664,1.0013659149823537e-07,-0.05166101879826251,-0.023868269863678453,0.016473688152228938,2.403278195957649e-06,2.4032781959576492e-06
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,3856,47,180,-0.047246534160640216,0.01277849756146618,-3.6973465725041965,0.00021786481363272818,-0.07229238938111393,-0.0222006789401665,0.012704258220211595,0.004357296272654564,0.0009842506753876554
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.002100635410694683,0.0032968429476585865,-0.6371657503996517,0.5240168842885102,-0.008562447588105513,0.004361176766716146,0.003030035201284198,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4279,47,189,-0.0076370525794311524,0.0062077369957188235,-1.2302474451958998,0.2186044579424823,-0.019804217091040046,0.004530111932177741,0.006092248107490983,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4138,47,186,-0.015336248398986013,0.009742149105319982,-1.5742161440139744,0.11543748830093631,-0.034430860645413175,0.003758363847441151,0.007605978753121856,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,3856,47,180,0.010042984842386474,0.016419287570738024,0.6116577713325875,0.540764206728123,-0.022138818796260052,0.042224788481033004,0.00890988988830732,1.0,0.9112728169372961
CPU_PRICING,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,0.0012143147827896271,0.001609956090977794,0.7542533548552388,0.45069710531382234,-0.001941199155526849,0.004369828721106103,0.0036738020151119155,1.0,0.8159372443448712
CONTINUOUS_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,CPU_VIX_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,-0.0029747150822444822,0.0022755417412198622,-1.3072557749038742,0.19112585868124043,-0.007434776895035412,0.0014853467305464474,0.008706292063760612,1.0,0.4252743614607816
JOINT_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,1.4088346921551556e-05,0.005870895256140269,0.0023996931144047912,0.9980853237509708,-0.011492866355113375,0.011521043048956478,0.002635317902733192,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,0.0070078401552478116,0.0054723437738988115,1.2805920908464827,0.20033697950170093,-0.0037179536415938583,0.017733633952089482,0.0076549136085865,0.8841273112127906,0.22895654800194393
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4313,48,189,0.03533223458008261,0.012439475316454788,2.8403315800100954,0.004506666316333384,0.010950862959831227,0.059713606200333995,0.03495262247111963,0.06309332842866738,0.0098147449481858
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4169,48,186,0.08004359613784792,0.02192561738445169,3.65068835847742,0.0002615384252248891,0.03706938606432261,0.12301780621137323,0.052192478168147316,0.004969230079272894,0.0009842506753876554
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,3881,48,180,0.06036350936824609,0.029587868960205117,2.040143866036225,0.04133599875222927,0.0023712862062440637,0.11835573253024811,0.01517360852281735,0.4133599875222927,0.06613759800356683
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,1.4088346921551556e-05,0.005870895256140269,0.0023996931144047912,0.9980853237509708,-0.011492866355113375,0.011521043048956478,0.002635317902733192,1.0,0.9993658473507814
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4313,48,189,0.010048349961797338,0.014817393004255703,0.6781456062420259,0.49767937667924644,-0.01899374032654384,0.03909044025013851,0.0069471555223935555,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4169,48,186,0.02434947005410695,0.02394451640426523,1.016912166568943,0.3091952149792928,-0.022581782098252904,0.0712807222064668,0.010194247778508081,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,3881,48,180,-0.014526486268049458,0.0321305292994778,-0.45210852683605024,0.6511908012102869,-0.07750232369502595,0.04844935115892703,0.009273766048719212,1.0,0.9193281899439345
CPU_PRICING,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,CPU_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.00036939595493132267,0.0010896586349364217,-0.3390015396453733,0.73460857030241,-0.0025051268794067092,0.001766334969544064,0.0027279213186383044,1.0,0.8159372443448712
CONTINUOUS_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,CPU_VIX_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,0.0011083786268220072,0.001540206048868488,0.7196300960097367,0.4717527767038482,-0.0019104252289602291,0.004127182482604243,0.0035206054567445966,1.0,0.5661033320446178
JOINT_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0013855728968892801,0.0038199005422111434,-0.3627248619638781,0.7168104256300323,-0.008872577959623122,0.006101432165844561,0.0028034207715919024,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0032629835569114385,0.003479881094631055,-0.9376709916743254,0.3484135158120446,-0.010083550502388306,0.0035575833885654294,0.003785890858289176,0.8841273112127906,0.36356192954300304
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4313,48,189,-0.01960053862840004,0.007157327380330256,-2.7385276077025873,0.006171497859205257,-0.03362890029384734,-0.00557217696295274,0.014657372117584222,0.07405797431046308,0.011393534509302014
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4169,48,186,-0.04845308297545288,0.01183873121567252,-4.092759780820855,4.2626926027525475e-05,-0.07165699615817102,-0.02524916979273474,0.02386422729330151,0.0009804192986330859,0.0004908456745209883
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,3881,48,180,-0.055572905523668815,0.013867103398053846,-4.007535238503241,6.135570931512353e-05,-0.08275242818385435,-0.02839338286348328,0.014704120725025027,0.0013498256049327179,0.0004908456745209883
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0013855728968892801,0.0038199005422111434,-0.3627248619638781,0.7168104256300323,-0.008872577959623122,0.006101432165844561,0.0028034207715919024,1.0,0.9470645566096203
