MODEL_FAMILY,CHANNEL,N_OBS,N_ETFS,N_DATES,COEFFICIENT,STD_ERROR,T_STAT,P_VALUE,P_HOLM_FAMILY,Q_BH_FAMILY,CI_LOW_95,CI_HIGH_95,STATUS
CONTINUOUS_STRESS_ACTIVATION,EXTENDED_ARCHITECTURE_RISK,4418,48,192,-0.002474608038699829,0.0020503906217638488,-1.2068959018994376,0.22747223612806677,1.0,0.4252743614607996,-0.006493373657356973,0.0015441575799573144,OK
CONTINUOUS_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,4418,48,192,-0.002974715082244281,0.0022755417412198236,-1.307255774903808,0.19112585868126286,1.0,0.4252743614607996,-0.007434776895035135,0.0014853467305465731,OK
CONTINUOUS_STRESS_ACTIVATION,FINANCIAL_ARCHITECTURE_RISK,4418,48,192,-0.002069041251450017,0.001797370955866537,-1.1511487067801782,0.2496710629636607,1.0,0.4252743614607996,-0.005591888324948429,0.0014538058220483954,OK
CONTINUOUS_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,4418,48,192,0.0011083786268215891,0.001540206048868473,0.7196300960094723,0.47175277670401095,1.0,0.5661033320448131,-0.0019104252289606177,0.0041271824826037955,OK
CONTINUOUS_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,4382,47,192,-0.0001706050780695524,0.0015747264588581698,-0.1083395005588829,0.9137263900861732,1.0,0.9137263900861732,-0.003257068937431565,0.0029158587812924603,OK
CONTINUOUS_STRESS_ACTIVATION,PORTFOLIO_CONCENTRATION,4418,48,192,-0.001010208185201913,0.0009419596042842379,-1.0724538298747266,0.2835162409738664,1.0,0.4252743614607996,-0.002856449009599019,0.0008360326391951933,OK
CPU_PRICING,EXTENDED_ARCHITECTURE_RISK,4418,48,192,0.00099009032961634,0.0014344618338986564,0.6902172690962575,0.4900575650269494,1.0,0.815937244344874,-0.0018214548648250266,0.0038016355240577063,OK
CPU_PRICING,EXTERNAL_FINANCING_DEPENDENCE,4418,48,192,0.001214314782789628,0.0016099560909778,0.7542533548552365,0.4506971053138238,1.0,0.815937244344874,-0.0019411991555268598,0.004369828721106116,OK
CPU_PRICING,FINANCIAL_ARCHITECTURE_RISK,4418,48,192,0.0009931352214012353,0.001254093437476673,0.7919148539677359,0.4284103252292951,1.0,0.815937244344874,-0.0014648879160530438,0.003451158358855514,OK
CPU_PRICING,GROWTH_DURATION_EXPOSURE,4418,48,192,-0.00036939595493132754,0.0010896586349364208,-0.339001539645378,0.7346085703024066,1.0,0.815937244344874,-0.0025051268794067123,0.0017663349695440573,OK
CPU_PRICING,INTERNAL_FINANCIAL_CAPACITY,4382,47,192,-0.00022798002976805317,0.000979397244573352,-0.23277585375213766,0.8159354638389615,1.0,0.815937244344874,-0.0021475986291318227,0.0016916385695957166,OK
CPU_PRICING,PORTFOLIO_CONCENTRATION,4418,48,192,0.0001819062752662875,0.0007814730957202818,0.23277356093574142,0.815937244344874,1.0,0.815937244344874,-0.0013497809923454648,0.0017135935428780398,OK
JOINT_STRESS_ACTIVATION,EXTENDED_ARCHITECTURE_RISK,4418,48,192,-0.0004127291277610031,0.005042637301589414,-0.08184787107946727,0.9347676881294409,1.0,0.999365847350783,-0.010296298238876254,0.009470839983354247,OK
JOINT_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,4418,48,192,1.4088346921591489e-05,0.005870895256140264,0.0023996931144115953,0.9980853237509654,1.0,0.999365847350783,-0.011492866355113325,0.011521043048956507,OK
JOINT_STRESS_ACTIVATION,FINANCIAL_ARCHITECTURE_RISK,4418,48,192,-3.4970603221599027e-06,0.004399966079031919,-0.0007947925641575233,0.999365847350783,1.0,0.999365847350783,-0.008627430575224722,0.008620436454580402,OK
JOINT_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,4418,48,192,-0.0013855728968892548,0.00381990054221115,-0.3627248619638708,0.7168104256300378,1.0,0.999365847350783,-0.008872577959623108,0.006101432165844599,OK
JOINT_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,4382,47,192,-0.002100635410694769,0.0032968429476585752,-0.63716575039968,0.5240168842884918,1.0,0.999365847350783,-0.008562447588105575,0.004361176766716038,OK
JOINT_STRESS_ACTIVATION,PORTFOLIO_CONCENTRATION,4418,48,192,-0.0009206356091558189,0.0028863979454148716,-0.31895657721703824,0.7497594406492902,1.0,0.999365847350783,-0.006577975582168967,0.004736704363857329,OK
