MODEL_FAMILY,CHANNEL,OUTCOME,HORIZON,FOCAL_TERM,STATUS,N_OBS,N_ETFS,N_DATES,COEFFICIENT,STD_ERROR,T_STAT,P_VALUE,CI_LOW_95,CI_HIGH_95,R_SQUARED_WITHIN_TRANSFORMED,P_HOLM_FAMILY,Q_BH_FAMILY
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.003586928725490414,0.002655815304117152,-1.3505941922730138,0.1768254622425539,-0.008792326721560032,0.001618469270579204,0.004012036422670673,0.8841273112127696,0.21219055469106468
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4279,47,189,-0.017396777175676576,0.004600417815617893,-3.7815646041141098,0.00015584576479679336,-0.026413596094287645,-0.008379958257065506,0.012391647342473222,0.0032727610607326606,0.0009350745887807602
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4138,47,186,-0.03776464433097064,0.007089986973108169,-5.326475841804693,1.0013659149821901e-07,-0.05166101879826265,-0.023868269863678626,0.016473688152228605,2.403278195957256e-06,2.4032781959572566e-06
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,3856,47,180,-0.0472465341606398,0.012778497561466413,-3.6973465725040966,0.00021786481363281364,-0.07229238938111397,-0.02220067894016563,0.012704258220211484,0.004357296272656273,0.0009842506753876387
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.002100635410694769,0.0032968429476585752,-0.63716575039968,0.5240168842884918,-0.008562447588105575,0.004361176766716038,0.003030035201283976,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4279,47,189,-0.007637052579431329,0.0062077369957188305,-1.2302474451959269,0.21860445794247219,-0.019804217091040237,0.004530111932177578,0.006092248107490872,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4138,47,186,-0.01533624839898594,0.009742149105319975,-1.5742161440139681,0.11543748830093778,-0.03443086064541309,0.00375836384744121,0.007605978753121745,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,3856,47,180,0.010042984842386485,0.01641928757073806,0.6116577713325868,0.5407642067281234,-0.02213881879626011,0.04222478848103308,0.00890988988830732,1.0,0.9112728169372948
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,0.0070078401552478,0.005472343773898809,1.2805920908464814,0.20033697950170126,-0.0037179536415938644,0.017733633952089465,0.007654913608586389,0.8841273112127696,0.2289565480019443
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4313,48,189,0.03533223458008268,0.01243947531645478,2.840331580010103,0.004506666316333276,0.010950862959831314,0.05971360620033404,0.03495262247111963,0.06309332842866586,0.009814744948185964
