MODEL,CHANNEL,CHANNEL_ROLE,QUALITY,COVARIANCE,PARAMETER,COEFFICIENT,STD_ERROR,TEST_STATISTIC,P_VALUE,SIGNIFICANCE,CI_LOWER_95,CI_UPPER_95,EXPECTED_SIGN,EXPECTED_SIGN_MATCH,N_OBSERVATIONS,N_ETFS,N_MONTHS,R_SQUARED,ADJ_R_SQUARED
INTERNAL_FINANCIAL_CAPACITY_MAIN_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,HC3,Intercept,-0.0018218588010940101,0.0006005846059588371,-3.0334756885508267,0.0024527015023681326,***,-0.002999788483066033,-0.0006439291191219873,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8144308443003299,0.8138017963149072
INTERNAL_FINANCIAL_CAPACITY_MAIN_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,HC3,CPU_Z,-0.00016457011052392666,0.0003957347678312616,-0.41585962089158196,0.6775631410701796,,-0.0009407267495582264,0.0006115865285103731,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8144308443003299,0.8138017963149072
INTERNAL_FINANCIAL_CAPACITY_MAIN_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,HC3,CPU_Z_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0011979026999400704,0.0008242542513139684,1.4533169808107846,0.1463130315000469,,-0.0004187114098476439,0.0028145168097277844,POSITIVE_OR_LESS_NEGATIVE,1.0,1777,23,192,0.8144308443003299,0.8138017963149072
INTERNAL_FINANCIAL_CAPACITY_MAIN_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,HC3,MARKET_RETURN,1.0637145587280878,0.020831785453670853,51.062092641734964,0.0,***,1.0228570705892164,1.1045720468669593,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8144308443003299,0.8138017963149072
INTERNAL_FINANCIAL_CAPACITY_MAIN_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,HC3,ENERGY_RETURN,-0.0018941488133164958,0.009889268643615149,-0.19153578303683996,0.8481278174336272,,-0.021290022355083364,0.017501724728450373,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8144308443003299,0.8138017963149072
INTERNAL_FINANCIAL_CAPACITY_MAIN_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,HC3,TREASURY_RETURN,0.03970186241587931,0.0144986699613114,2.7383106534475723,0.006237440500476893,***,0.011265546321364926,0.0681381785103937,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8144308443003299,0.8138017963149072
INTERNAL_FINANCIAL_CAPACITY_MAIN_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,HC3,VIX_CHANGE,0.004946269928958686,0.0032964791427074016,1.5004705671810528,0.1336709006559149,,-0.0015191315976047018,0.011411671455522073,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8144308443003299,0.8138017963149072
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,Intercept,-0.001639027476587119,0.0005832676812756879,-2.8100776525151145,0.005468789333603471,***,-0.00278950080776307,-0.0004885541454111683,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000013931],0.0002418947211869662,0.0004984583597178021,0.48528571438527546,0.6280298482957625,,-0.00074129544683811,0.0012250848892120423,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000055381],0.0006272168719771729,0.0005977519369996519,1.0492929142570693,0.29536920495049845,,-0.000551826103064365,0.0018062598470187108,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
