MODEL,CHANNEL,CHANNEL_ROLE,QUALITY,COVARIANCE,PARAMETER,COEFFICIENT,STD_ERROR,TEST_STATISTIC,P_VALUE,SIGNIFICANCE,CI_LOWER_95,CI_UPPER_95,EXPECTED_SIGN,EXPECTED_SIGN_MATCH,N_OBSERVATIONS,N_ETFS,N_MONTHS,R_SQUARED,ADJ_R_SQUARED,COEFFICIENT_WITH_STARS
INTERNAL_FINANCIAL_CAPACITY_MAIN_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,HC3,CPU_Z,-0.00016457011052392666,0.0003957347678312616,-0.41585962089158196,0.6775631410701796,,-0.0009407267495582264,0.0006115865285103731,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8144308443003299,0.8138017963149072,-0.000165
INTERNAL_FINANCIAL_CAPACITY_MAIN_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,HC3,CPU_Z_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0011979026999400704,0.0008242542513139684,1.4533169808107846,0.1463130315000469,,-0.0004187114098476439,0.0028145168097277844,POSITIVE_OR_LESS_NEGATIVE,1.0,1777,23,192,0.8144308443003299,0.8138017963149072,0.001198
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,CPU_Z,-8.800112100740918e-05,0.0006524093624539537,-0.13488635521170989,0.8928437659970544,,-0.0013748537902160923,0.0011988515482012738,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286,-0.000088
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,CPU_Z_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.001315573904241655,0.001519913690948282,-0.8655582958930134,0.38781832083584294,,-0.004313545887363929,0.001682398078880619,POSITIVE_OR_LESS_NEGATIVE,0.0,1777,23,192,0.8171495685945347,0.8142206143157286,-0.001316
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,CPU_Z,-8.800112100740918e-05,0.0004257291268040812,-0.20670683649960117,0.838139976235784,,-0.0009709092913086909,0.0007949070492938726,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286,-0.000088
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,CPU_Z_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.001315573904241655,0.0008359651026025991,-1.5737186877130351,0.12982470230438947,,-0.0030492594162368106,0.0004181116077535004,POSITIVE_OR_LESS_NEGATIVE,0.0,1777,23,192,0.8171495685945347,0.8142206143157286,-0.001316
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_TWO_WAY_CLUSTER,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,TWO_WAY_CLUSTER,CPU_Z,-8.800112100740918e-05,0.0006348771506674865,-0.1386112587527966,0.8897573460025838,,-0.0013323603363156826,0.0011563580943008641,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286,-0.000088
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_TWO_WAY_CLUSTER,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,TWO_WAY_CLUSTER,CPU_Z_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.001315573904241655,0.0014151448157916898,-0.9296390656002717,0.3525579936439781,,-0.004089257743193367,0.0014581099347100567,POSITIVE_OR_LESS_NEGATIVE,0.0,1777,23,192,0.8171495685945347,0.8142206143157286,-0.001316
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_AND_MONTH_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,CPU_Z_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.001128370008346752,0.0008505827539165159,-1.3265846305384892,0.1982528000614314,,-0.0028923706737178515,0.0006356306570243476,POSITIVE_OR_LESS_NEGATIVE,0.0,1777,23,192,0.8344501727575443,0.8117692105104986,-0.001128
INTERNAL_FINANCIAL_CAPACITY_MODERATE_POOLED_HC3,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MODERATE,HC3,CPU_Z,0.0006391588490265059,0.0006304551638659124,1.0138053991139084,0.3107924638100048,,-0.0005972235049308521,0.001875541202983864,POSITIVE_OR_LESS_NEGATIVE,,2106,26,192,0.6364789767366519,0.635439850419558,0.000639
