MODEL,MODEL_FAMILY,CHANNEL,CHANNEL_ROLE,QUALITY,COVARIANCE,PARAMETER,TARGET_PARAMETER,COEFFICIENT,STD_ERROR,TEST_STATISTIC,P_VALUE,SIGNIFICANCE,CI_LOWER_95,CI_UPPER_95,EXPECTED_SIGN,EXPECTED_SIGN_MATCH,N_OBSERVATIONS,N_ETFS,N_MONTHS,N_JOINT_STRESS_MONTHS,R_SQUARED,ADJ_R_SQUARED,COEFFICIENT_WITH_STARS
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,HIGH_CPU_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0011132742612505683,0.0037714375451945916,0.2951856547827647,0.768172685678534,,-0.006325742943426721,0.008552291465927857,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035,0.001113
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,HIGH_VIX_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.0015779584679139654,0.004330726591345107,-0.3643634467868492,0.7159896905613897,,-0.010120152057416305,0.006964235121588374,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035,-0.001578
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.007142148045875931,0.006293881840195752,-1.1347763156694082,0.2578911453038329,,-0.01955659074374816,0.0052722946519962975,POSITIVE,0.0,1777,23,192,17,0.8193022538433548,0.8159866988680035,-0.007142
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,HIGH_CPU_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0011132742612505683,0.0014418898823184813,0.7720938158332058,0.4482740437669283,,-0.0018770223325730348,0.004103570855074171,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035,0.001113
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,HIGH_VIX_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.0015779584679139654,0.005929881111838615,-0.26610288438391716,0.7926379759827668,,-0.013875779201628847,0.010719862265800916,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035,-0.001578
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.007142148045875931,0.006098055007479579,-1.1712173860543595,0.25404095299113194,,-0.01978874009248511,0.005504444000733249,POSITIVE,0.0,1777,23,192,17,0.8193022538433548,0.8159866988680035,-0.007142
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_TWO_WAY_CLUSTER,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,TWO_WAY_CLUSTER,HIGH_CPU_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0011132742612505683,0.0032419060949061235,0.34340114385170234,0.7312966991228921,,-0.005240861684765434,0.00746741020726657,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035,0.001113
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_TWO_WAY_CLUSTER,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,TWO_WAY_CLUSTER,HIGH_VIX_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.0015779584679139654,0.006208179550990661,-0.2541741028836972,0.7993610566546281,,-0.013745990387855662,0.010590073452027731,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035,-0.001578
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_TWO_WAY_CLUSTER,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,TWO_WAY_CLUSTER,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.007142148045875931,0.007135628331231253,-1.0009136847299267,0.3168685399526695,,-0.021127979575089186,0.006843683483337325,POSITIVE,0.0,1777,23,192,17,0.8193022538433548,0.8159866988680035,-0.007142
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_MONTH_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,HIGH_CPU_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0013961741192891615,0.0012552519051863011,1.112266082625021,0.2780307398495889,,-0.0012070590003119257,0.003999407238890249,POSITIVE,,1777,23,192,17,0.8352690463473488,0.8124601450723663,0.001396
