MODEL,CHANNEL,CHANNEL_ROLE,QUALITY,SHOCK,HORIZON_MONTHS,OUTCOME,COVARIANCE,PARAMETER,TARGET_PARAMETER,COEFFICIENT,STD_ERROR,TEST_STATISTIC,P_VALUE,SIGNIFICANCE,CI_LOWER_95,CI_UPPER_95,EXPECTED_SIGN,EXPECTED_SIGN_MATCH,N_OBSERVATIONS,N_ETFS,N_MONTHS,N_POSITIVE_SHOCK_MONTHS,R_SQUARED,ADJ_R_SQUARED,COEFFICIENT_WITH_STARS
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_1M_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,1,ETF_RETURN_LEAD1,CLUSTER_DATE,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0034596914177231213,0.0018355107854766944,1.8848657524094126,0.06188708987473245,*,-0.00017480326183466188,0.007094186097280904,POSITIVE,1.0,422,11,120,62,0.12920647670111018,0.09480475726214177,0.003460*
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_1M_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,1,ETF_RETURN_LEAD1,CLUSTER_ETF,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0034596914177231213,0.0020840378078228177,1.660090524623179,0.1278827443422811,,-0.0011838341908952037,0.008103217026341446,POSITIVE,1.0,422,11,120,62,0.12920647670111018,0.09480475726214177,0.003460
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_1M_ETF_FE_TWO_WAY_CLUSTER,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,1,ETF_RETURN_LEAD1,TWO_WAY_CLUSTER,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0034596914177231213,0.0,,,,0.0034596914177231213,0.0034596914177231213,POSITIVE,1.0,422,11,120,62,0.12920647670111018,0.09480475726214177,0.003460
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_1M_ETF_MONTH_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,1,ETF_RETURN_LEAD1,CLUSTER_ETF,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.003680456540211024,0.0018447174369705496,1.9951329490630174,0.07398551501384319,*,-0.00042983005203959916,0.007790743132461647,POSITIVE,1.0,422,11,120,62,0.9574633295620514,0.93846069328393,0.003680*
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_3M_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,3,CUM_RETURN_LEAD3,CLUSTER_DATE,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0032668906576258476,0.0031983352348525377,1.0214347207966994,0.3091205658272625,,-0.0030661325457735393,0.009599913861025235,POSITIVE,1.0,422,11,120,62,0.17958417267700488,0.1471726832025163,0.003267
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_3M_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,3,CUM_RETURN_LEAD3,CLUSTER_ETF,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0032668906576258476,0.0012522682893419386,2.6087785544282878,0.026095432044203042,**,0.0004766630290326847,0.0060571182862190105,POSITIVE,1.0,422,11,120,62,0.17958417267700488,0.1471726832025163,0.003267**
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_3M_ETF_FE_TWO_WAY_CLUSTER,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,3,CUM_RETURN_LEAD3,TWO_WAY_CLUSTER,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0032668906576258476,0.0,,,,0.0032668906576258476,0.0032668906576258476,POSITIVE,1.0,422,11,120,62,0.17958417267700488,0.1471726832025163,0.003267
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_3M_ETF_MONTH_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,3,CUM_RETURN_LEAD3,CLUSTER_ETF,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.003964393244120531,0.0014947610522249952,2.652191959523843,0.024221751995786522,**,0.0006338580692221347,0.007294928419018928,POSITIVE,1.0,422,11,120,62,0.9599157353068865,0.9420086754783478,0.003964**
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_6M_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,6,CUM_RETURN_LEAD6,CLUSTER_DATE,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.006370456443276417,0.007913225611831744,0.8050391529026292,0.4224026414258958,,-0.00929852061308751,0.022039433499640347,POSITIVE,1.0,422,11,120,62,0.20773133191061843,0.1764318289737541,0.006370
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_6M_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,6,CUM_RETURN_LEAD6,CLUSTER_ETF,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.006370456443276417,0.003333739838397982,1.9109038953494701,0.08507781352407684,*,-0.0010575788130725702,0.013798491699625406,POSITIVE,1.0,422,11,120,62,0.20773133191061843,0.1764318289737541,0.006370*
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_6M_ETF_FE_TWO_WAY_CLUSTER,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,6,CUM_RETURN_LEAD6,TWO_WAY_CLUSTER,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.006370456443276417,0.0,,,,0.006370456443276417,0.006370456443276417,POSITIVE,1.0,422,11,120,62,0.20773133191061843,0.1764318289737541,0.006370
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_6M_ETF_MONTH_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,6,CUM_RETURN_LEAD6,CLUSTER_ETF,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.005975203498040335,0.003743859567125904,1.5960009692958101,0.14157265756303622,,-0.0023666354598534077,0.014317042455934077,POSITIVE,1.0,422,11,120,62,0.9429249327716676,0.9174274800579796,0.005975
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_12M_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,12,CUM_RETURN_LEAD12,CLUSTER_DATE,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.006088412274502417,0.011502918241359234,0.5292928408906942,0.5975883098907325,,-0.016688514714107282,0.028865339263112112,POSITIVE,1.0,422,11,120,62,0.3901340689791384,0.36604060009930195,0.006088
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_12M_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,12,CUM_RETURN_LEAD12,CLUSTER_ETF,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.006088412274502417,0.020700070036685652,0.2941252016883152,0.774676796885649,,-0.04003421801307383,0.05221104256207866,POSITIVE,1.0,422,11,120,62,0.3901340689791384,0.36604060009930195,0.006088
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_12M_ETF_FE_TWO_WAY_CLUSTER,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,12,CUM_RETURN_LEAD12,TWO_WAY_CLUSTER,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.006088412274502417,0.016489055658423193,0.3692395975018885,0.7119491433995697,,-0.02623013681600704,0.03840696136501187,POSITIVE,1.0,422,11,120,62,0.3901340689791384,0.36604060009930195,0.006088
INTERNAL_FINANCIAL_CAPACITY_MAIN_CPU_SHOCK_12M_ETF_MONTH_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CPU_SHOCK,12,CUM_RETURN_LEAD12,CLUSTER_ETF,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_SHOCK_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.00492868674698306,0.024684238745778242,0.19966938408526033,0.8457409037984598,,-0.050071224634190385,0.059928598128156506,POSITIVE,1.0,422,11,120,62,0.7845211031122671,0.6882590529562351,0.004929
INTERNAL_FINANCIAL_CAPACITY_MAIN_EXTREME_CPU_REGIME_1M_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,EXTREME_CPU_REGIME,1,ETF_RETURN_LEAD1,CLUSTER_DATE,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.005028305320019957,0.004194585889109293,-1.1987608438476156,0.23211394266550933,,-0.013302244198113093,0.003245633558073179,POSITIVE,0.0,1754,23,191,19,0.06574130246325882,0.05057652360469145,-0.005028
INTERNAL_FINANCIAL_CAPACITY_MAIN_EXTREME_CPU_REGIME_1M_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,EXTREME_CPU_REGIME,1,ETF_RETURN_LEAD1,CLUSTER_ETF,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.005028305320019957,0.0023992205880761608,-2.0958078406837757,0.04782379753749467,**,-0.010003984281591966,-5.2626358447949335e-05,POSITIVE,0.0,1754,23,191,19,0.06574130246325882,0.05057652360469145,-0.005028**
INTERNAL_FINANCIAL_CAPACITY_MAIN_EXTREME_CPU_REGIME_1M_ETF_FE_TWO_WAY_CLUSTER,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,EXTREME_CPU_REGIME,1,ETF_RETURN_LEAD1,TWO_WAY_CLUSTER,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.005028305320019957,0.0,,,,-0.005028305320019957,-0.005028305320019957,POSITIVE,0.0,1754,23,191,19,0.06574130246325882,0.05057652360469145,-0.005028
INTERNAL_FINANCIAL_CAPACITY_MAIN_EXTREME_CPU_REGIME_1M_ETF_MONTH_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,EXTREME_CPU_REGIME,1,ETF_RETURN_LEAD1,CLUSTER_ETF,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.004359887499708956,0.0025391567988450425,-1.717061152620464,0.10001545627712609,,-0.00962577640001909,0.0009060014006011764,POSITIVE,0.0,1754,23,191,19,0.8350609588261708,0.8122479615729075,-0.004360
INTERNAL_FINANCIAL_CAPACITY_MAIN_EXTREME_CPU_REGIME_3M_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,EXTREME_CPU_REGIME,3,CUM_RETURN_LEAD3,CLUSTER_DATE,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.018206614131061036,0.0072769947588491885,-2.50194135551917,0.013204940939211388,**,-0.03256167020449709,-0.003851558057624988,POSITIVE,0.0,1708,23,189,18,0.055116254294952816,0.039358812436857904,-0.018207**
INTERNAL_FINANCIAL_CAPACITY_MAIN_EXTREME_CPU_REGIME_3M_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,EXTREME_CPU_REGIME,3,CUM_RETURN_LEAD3,CLUSTER_ETF,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,EXTREME_CPU_REGIME_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.018206614131061036,0.009257893860596512,-1.9666043276378558,0.06196951043383733,*,-0.037406310874066165,0.000993082611944092,POSITIVE,0.0,1708,23,189,18,0.055116254294952816,0.039358812436857904,-0.018207*
