MODEL_FAMILY,CHANNEL,OUTCOME,HORIZON,FOCAL_TERM,STATUS,N_OBS,N_ETFS,N_DATES,COEFFICIENT,STD_ERROR,T_STAT,P_VALUE,CI_LOW_95,CI_HIGH_95,R_SQUARED_WITHIN_TRANSFORMED,P_HOLM_FAMILY,Q_BH_FAMILY
CPU_PRICING,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.0002279800297680999,0.0009793972445733545,-0.23277585375218476,0.8159354638389249,-0.0021475986291318748,0.001691638569595675,0.002677633703174531,1.0,0.8159372443448609
CONTINUOUS_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,CPU_VIX_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.00017060507806916436,0.0015747264588581754,-0.1083395005586361,0.9137263900863689,-0.003257068937431188,0.0029158587812928593,0.003148695193039064,1.0,0.9137263900863689
JOINT_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.0021006354106947005,0.0032968429476585787,-0.6371657503996585,0.5240168842885058,-0.008562447588105515,0.004361176766716114,0.003030035201283976,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.003586928725490354,0.0026558153041171526,-1.3505941922729912,0.17682546224256113,-0.008792326721559973,0.0016184692705792647,0.004012036422670784,0.8841273112128056,0.21219055469107334
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4279,47,189,-0.017396777175676593,0.004600417815617884,-3.7815646041141213,0.00015584576479678596,-0.026413596094287645,-0.00837995825706554,0.012391647342473888,0.003272761060732505,0.0009350745887807157
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,4138,47,186,-0.03776464433097082,0.00708998697310819,-5.326475841804703,1.001365914982135e-07,-0.051661018798262875,-0.02386826986367877,0.016473688152228494,2.4032781959571236e-06,2.403278195957124e-06
EXTREME_CPU_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_INTERNAL_FINANCIAL_CAPACITY,OK,3856,47,180,-0.04724653416064052,0.012778497561466158,-3.6973465725042267,0.0002178648136327022,-0.0722923893811142,-0.022200678940166852,0.012704258220211595,0.0043572962726540435,0.0009842506753875771
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,ETF_RETURN,0,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4382,47,192,-0.0021006354106947005,0.0032968429476585787,-0.6371657503996585,0.5240168842885058,-0.008562447588105515,0.004361176766716114,0.003030035201283976,1.0,0.9112728169373054
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4279,47,189,-0.007637052579431113,0.006207736995718814,-1.2302474451958954,0.21860445794248395,-0.019804217091039987,0.004530111932177761,0.006092248107491205,1.0,0.9112728169373054
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,4138,47,186,-0.015336248398985708,0.00974214910531999,-1.574216144013942,0.11543748830094383,-0.034430860645412883,0.00375836384744147,0.007605978753121523,1.0,0.9112728169373054
JOINT_STRESS_RECOVERY,INTERNAL_FINANCIAL_CAPACITY,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_INTERNAL_FINANCIAL_CAPACITY,OK,3856,47,180,0.010042984842386752,0.01641928757073807,0.6116577713326027,0.5407642067281129,-0.022138818796259865,0.042224788481033365,0.00890988988830732,1.0,0.9112728169373054
CPU_PRICING,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,0.001214314782789599,0.00160995609097779,0.7542533548552232,0.4506971053138319,-0.0019411991555268694,0.004369828721106067,0.0036738020151119155,1.0,0.8159372443448609
CONTINUOUS_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,CPU_VIX_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,-0.002974715082244693,0.0022755417412199,-1.307255774903945,0.19112585868121634,-0.007434776895035697,0.0014853467305463112,0.008706292063760612,1.0,0.4252743614608106
JOINT_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,1.4088346921574263e-05,0.005870895256140276,0.002399693114408656,0.9980853237509677,-0.011492866355113367,0.011521043048956514,0.002635317902733414,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,0.0070078401552478185,0.005472343773898813,1.2805920908464836,0.20033697950170037,-0.003717953641593855,0.017733633952089493,0.007654913608586833,0.8841273112128056,0.2289565480019433
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4313,48,189,0.03533223458008268,0.01243947531645485,2.840331580010087,0.004506666316333498,0.010950862959831175,0.05971360620033418,0.03495262247112019,0.06309332842866897,0.009814744948185935
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4169,48,186,0.08004359613784776,0.02192561738445165,3.650688358477419,0.0002615384252248898,0.03706938606432252,0.12301780621137298,0.052192478168147094,0.004969230079272907,0.0009842506753875771
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,3881,48,180,0.060363509368245895,0.029587868960205117,2.0401438660362183,0.04133599875222995,0.0023712862062438694,0.11835573253024792,0.015173608522817239,0.4133599875222995,0.06613759800356792
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,1.4088346921574263e-05,0.005870895256140276,0.002399693114408656,0.9980853237509677,-0.011492866355113367,0.011521043048956514,0.002635317902733414,1.0,0.9993658473507814
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4313,48,189,0.010048349961797255,0.014817393004255703,0.6781456062420204,0.49767937667925,-0.018993740326543922,0.03909044025013843,0.006947155522394,1.0,0.9112728169373054
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4169,48,186,0.02434947005410681,0.023944516404265242,1.0169121665689367,0.3091952149792957,-0.022581782098253064,0.07128072220646668,0.010194247778507637,1.0,0.9112728169373054
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,3881,48,180,-0.01452648626804933,0.03213052929947771,-0.4521085268360475,0.6511908012102889,-0.07750232369502563,0.04844935115892698,0.00927376604871899,1.0,0.9193281899439373
CPU_PRICING,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,CPU_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0003693959549313307,0.0010896586349364143,-0.33900153964538293,0.7346085703024028,-0.0025051268794067027,0.0017663349695440412,0.0027279213186385265,1.0,0.8159372443448609
CONTINUOUS_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,CPU_VIX_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,0.0011083786268216342,0.001540206048868479,0.7196300960094987,0.47175277670399474,-0.0019104252289605848,0.004127182482603853,0.0035206054567447076,1.0,0.5661033320447937
JOINT_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0013855728968892697,0.0038199005422111507,-0.3627248619638747,0.7168104256300348,-0.008872577959623125,0.006101432165844585,0.0028034207715921244,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.00326298355691148,0.0034798810946310415,-0.9376709916743411,0.3484135158120367,-0.010083550502388322,0.003557583388565361,0.00378589085828962,0.8841273112128056,0.3635619295429948
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4313,48,189,-0.019600538628400006,0.007157327380330245,-2.7385276077025864,0.006171497859205274,-0.03362890029384728,-0.005572176962952726,0.014657372117584444,0.07405797431046329,0.011393534509302045
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4169,48,186,-0.04845308297545281,0.01183873121567254,-4.092759780820843,4.2626926027527786e-05,-0.07165699615817099,-0.02524916979273463,0.023864227293301177,0.000980419298633139,0.000490845674520953
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,3881,48,180,-0.05557290552366888,0.013867103398053802,-4.007535238503258,6.135570931511913e-05,-0.08275242818385434,-0.028393382863483425,0.014704120725024916,0.001349825604932621,0.000490845674520953
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0013855728968892697,0.0038199005422111507,-0.3627248619638747,0.7168104256300348,-0.008872577959623125,0.006101432165844585,0.0028034207715921244,1.0,0.9470645566096172
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4313,48,189,-0.0104117529274654,0.007911511759033927,-1.3160257160177407,0.18816541151894206,-0.0259183159751719,0.005094810120241098,0.007298395604559804,1.0,0.9112728169373054
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4169,48,186,-0.02256318160201776,0.013217877452544732,-1.7070200327567608,0.08781832900077177,-0.048470221409005435,0.003343858204969914,0.009802276577366098,1.0,0.9112728169373054
