REFERENCE_SERIES_ID,REFERENCE_SERIES_NAME,2023Q4,2024Q4,2025Q4,N_QUARTERS_AVAILABLE,AVAILABLE_ALL_THREE_QUARTERS
S000003053,Invesco WilderHill Clean Energy ETF,1,1,1,3,1
S000004436,iShares ESG Optimized MSCI USA ETF,1,1,1,3,1
S000013122,Invesco MSCI Sustainable Future ETF,1,1,1,3,1
S000013931,iShares ESG MSCI KLD 400 ETF,0,0,1,1,0
S000015279,Invesco Global Clean Energy ETF,1,1,1,3,1
S000016884,VanEck Low Carbon Energy ETF,1,1,1,3,1
S000022498,iShares Global Clean Energy ETF,1,1,1,3,1
S000022933,First Trust Global Wind Energy ETF,1,1,1,3,1
S000029441,Global X Lithium and Battery Tech ETF,1,1,1,3,1
S000047509,SPDR MSCI ACWI Climate Paris Aligned ETF,1,1,1,3,1
S000047644,iShares MSCI ACWI Low Carbon Target ETF,1,1,1,3,1
S000049858,KraneShares MSCI China Clean Technology Index ETF,1,1,1,3,1
S000053601,iShares MSCI Global Sustainable Development Goals ETF,1,1,1,3,1
S000054183,iShares ESG Aware MSCI EM ETF,1,1,1,3,1
S000055381,iShares ESG Aware MSCI USA ETF,1,1,1,3,1
S000055811,Nuveen ESG Large-Cap Growth ETF,1,1,1,3,1
S000055812,Nuveen ESG Large-Cap Value ETF,1,1,1,3,1
S000060054,Xtrackers MSCI Emerging Markets Climate Selection ETF,1,1,1,3,1
S000060056,Xtrackers Emerging Markets Carbon Reduction and Climate Improvers ETF,1,1,1,3,1
S000060822,Invesco Solar ETF,1,1,1,3,1
S000061920,Amplify Lithium & Battery Technology ETF,1,1,1,3,1
S000062205,ALPS Clean Energy ETF,1,1,1,3,1
S000063075,VANGUARD ESG U.S. STOCK ETF,1,1,1,3,1
S000063360,SPDR S&P Kensho Clean Power ETF,1,1,1,3,1
S000063599,Nuveen ESG Large-Cap ETF,1,1,1,3,1
S000063769,US Vegan Climate ETF,1,1,1,3,1
S000065418,iShares ESG MSCI USA Leaders ETF,1,1,1,3,1
S000066985,PIMCO RAFI ESG U.S. ETF,1,1,1,3,1
S000067838,iShares ESG MSCI EM Leaders ETF,1,1,1,3,1
S000068773,iShares ESG Advanced MSCI EM ETF,1,1,1,3,1
S000068775,iShares ESG Advanced MSCI USA ETF,1,1,1,3,1
S000069051,SPDR S&P 500 ESG ETF,1,1,1,3,1
S000069532,iShares ESG Select Screened S&P 500 ETF,1,1,1,3,1
S000069640,Global X CleanTech ETF,1,1,1,3,1
S000069963,SmartETFs Sustainable Energy II ETF,1,1,1,3,1
S000071281,BlackRock U.S. Carbon Transition Readiness ETF,1,1,1,3,1
S000071282,BlackRock World ex U.S. Carbon Transition Readiness ETF,1,1,1,3,1
S000071326,Global X Clean Water ETF,1,1,1,3,1
S000071711,Putnam Sustainable Future ETF,1,1,1,3,1
S000071712,Putnam Sustainable Leaders ETF,1,1,1,3,1
S000071943,Nuveen Winslow Large-Cap Growth ESG ETF,1,1,1,3,1
S000072126,Fidelity Sustainable U.S. Equity ETF,1,1,1,3,1
S000072510,Virtus Duff & Phelps Clean Energy ETF,1,1,1,3,1
S000073013,Invesco ESG Nasdaq 100 ETF,1,1,1,3,1
S000073014,Invesco ESG Nasdaq NextGen 100 ETF,1,1,1,3,1
S000073419,ProShares S&P Kensho Cleantech ETF,1,1,1,3,1
S000073597,Fidelity Clean Energy ETF,1,1,1,3,1
S000074035,SPDR S&P SmallCap 600 ESG ETF,1,1,1,3,1
S000074294,Invesco ESG S&P 500 Equal Weight ETF,1,1,1,3,1
S000074757,iShares Paris-Aligned Climate Optimized MSCI USA ETF,1,1,1,3,1
S000076007,SPDR MSCI USA Climate Paris Aligned ETF,1,1,1,3,1
S000076639,Dimensional US Sustainability Core 1 ETF,1,1,1,3,1
S000076804,Carbon Collective Climate Solutions U.S.Equity ETF,0,1,1,2,0
S000078011,ProShares S&P Global Core Battery Metals ETF,1,1,1,3,1
S000079010,ClearBridge Sustainable Infrastructure ETF,1,1,1,3,1
S000079062,Hennessy Sustainable ETF,0,1,1,2,0
S000079196,iShares ESG Aware MSCI USA Growth ETF,1,1,1,3,1
S000079198,iShares ESG Aware MSCI USA Value ETF,1,1,1,3,1
S000079464,Calamos Antetokounmpo Global Sustainable Equities ETF,1,1,1,3,1
S000079909,Xtrackers MSCI USA Climate Action Equity ETF,1,1,1,3,1
S000079934,Touchstone ETF Trust-Touchstone Climate Transition ETF,1,1,1,3,1
S000080443,iShares Climate Conscious & Transition MSCI USA ETF,1,1,1,3,1
S000080471,Xtrackers US Green Infrastructure Select Equity ETF,1,1,1,3,1
S000082271,Amplify Etho Climate Leadership U.S. ETF,0,1,1,2,0
S000083456,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF,0,1,1,2,0
S000084191,Nuveen Sustainable Core ETF,0,1,1,2,0
S000085496,Themes Lithium & Battery Metal Miners ETF,0,1,1,2,0
S000085579,Invesco MSCI Global Climate 500 ETF,0,1,1,2,0
S000087815,Stance Sustainable Beta ETF,0,0,1,1,0
S000089010,Invesco MSCI North America Climate ETF,0,0,1,1,0
S000092068,Brown Advisory Sustainable Growth ETF,0,0,1,1,0
S000092069,Brown Advisory Sustainable Value ETF,0,0,1,1,0
