SNAPSHOT_QUARTER,METRIC,VALUE
2023Q4,REFERENCE_ETF_COUNT,72
2023Q4,MATCHED_REFERENCE_ETFS,60
2023Q4,UNMATCHED_REFERENCE_ETFS,12
2023Q4,EXACT_SERIES_ID_MATCHES,60
2023Q4,SERIES_LEI_MATCHES,0
2023Q4,NORMALIZED_NAME_MATCHES,0
2023Q4,FIXED_UNIVERSE_HOLDING_ROWS,16304
2023Q4,EQUITY_CORPORATE_HOLDING_ROWS,15742
2023Q4,UNIQUE_EQUITY_FIRM_RECORDS,15738
2023Q4,UNIQUE_REFERENCE_ETFS_WITH_EQUITY_HOLDINGS,56
2024Q4,REFERENCE_ETF_COUNT,72
2024Q4,MATCHED_REFERENCE_ETFS,67
2024Q4,UNMATCHED_REFERENCE_ETFS,5
2024Q4,EXACT_SERIES_ID_MATCHES,67
2024Q4,SERIES_LEI_MATCHES,0
2024Q4,NORMALIZED_NAME_MATCHES,0
2024Q4,FIXED_UNIVERSE_HOLDING_ROWS,17373
2024Q4,EQUITY_CORPORATE_HOLDING_ROWS,16778
2024Q4,UNIQUE_EQUITY_FIRM_RECORDS,16776
2024Q4,UNIQUE_REFERENCE_ETFS_WITH_EQUITY_HOLDINGS,63
2025Q4,REFERENCE_ETF_COUNT,72
2025Q4,MATCHED_REFERENCE_ETFS,72
2025Q4,UNMATCHED_REFERENCE_ETFS,0
2025Q4,EXACT_SERIES_ID_MATCHES,72
2025Q4,SERIES_LEI_MATCHES,0
2025Q4,NORMALIZED_NAME_MATCHES,0
2025Q4,FIXED_UNIVERSE_HOLDING_ROWS,17200
2025Q4,EQUITY_CORPORATE_HOLDING_ROWS,16539
2025Q4,UNIQUE_EQUITY_FIRM_RECORDS,16538
2025Q4,UNIQUE_REFERENCE_ETFS_WITH_EQUITY_HOLDINGS,66
