ETF_ID,ETF_TICKER,ETF_NAME_RETURN,INTERNAL_FINANCIAL_CAPACITY_MAIN,SORT_GROUP,CHANNEL,SORT_METHOD,N_UNIVERSE,EXTERNAL_FINANCING_DEPENDENCE_MAIN,GROWTH_DURATION_EXPOSURE_FINAL_MAIN,PORTFOLIO_CONCENTRATION_FINAL_MAIN,FINANCIAL_ARCHITECTURE_RISK_FINAL_MAIN,EXTENDED_ARCHITECTURE_RISK_FINAL_MAIN
S000079062,STNC,Hennessy Sustainable ETF,-1.118366774197551,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000055812,NULV,Nuveen ESG Large-Cap Value ETF,-1.116643302120523,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000079198,EVUS,iShares ESG Aware MSCI USA Value ETF,-0.816532442824032,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000066985,RAFE,PIMCO RAFI ESG U.S. ETF,-0.7081167625351614,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000080471,UPGR,Xtrackers US Green Infrastructure Select Equity ETF,-0.6628480203392914,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000062205,ACES,ALPS Clean Energy ETF,-0.3482822644810561,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000074757,PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,-0.023986669857086,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000013931,DSI,iShares ESG MSCI KLD 400 ETF,0.0014825934834366,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000065418,SUSL,iShares ESG MSCI USA Leaders ETF,0.019531332913535,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000055381,ESGU,iShares ESG Aware MSCI USA ETF,0.0205162413469255,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000080443,USCL,iShares Climate Conscious & Transition MSCI USA ETF,0.0492573799512695,LOW,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000079909,USCA,Xtrackers MSCI USA Climate Action Equity ETF,0.0661978378770913,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000004436,SUSA,iShares ESG Optimized MSCI USA ETF,0.089240239647234,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000069532,XVV,iShares ESG Select Screened S&P 500 ETF,0.1295625401912113,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000076639,DFSU,Dimensional US Sustainability Core 1 ETF,0.1350720294921454,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000063769,VEGN,US Vegan Climate ETF,0.1423388960301083,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000069051,EFIV,SPDR S&P 500 ESG ETF,0.1518251863425983,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000063075,ESGV,VANGUARD ESG U.S. STOCK ETF,0.1610874375466174,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000068775,USXF,iShares ESG Advanced MSCI USA ETF,0.2336786508325831,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000087815,CHGX,Stance Sustainable Beta ETF,0.2964283112762486,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000063599,NULC,Nuveen ESG Large-Cap ETF,0.3196598842436326,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000079196,EGUS,iShares ESG Aware MSCI USA Growth ETF,0.6881953384973026,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000055811,NULG,Nuveen ESG Large-Cap Growth ETF,1.2919945410313711,HIGH,INTERNAL_FINANCIAL_CAPACITY,MEDIAN_SPLIT,23,,,,,
S000079062,STNC,Hennessy Sustainable ETF,-1.118366774197551,LOW,INTERNAL_FINANCIAL_CAPACITY,TERCILE,23,,,,,
S000055812,NULV,Nuveen ESG Large-Cap Value ETF,-1.116643302120523,LOW,INTERNAL_FINANCIAL_CAPACITY,TERCILE,23,,,,,
S000079198,EVUS,iShares ESG Aware MSCI USA Value ETF,-0.816532442824032,LOW,INTERNAL_FINANCIAL_CAPACITY,TERCILE,23,,,,,
S000066985,RAFE,PIMCO RAFI ESG U.S. ETF,-0.7081167625351614,LOW,INTERNAL_FINANCIAL_CAPACITY,TERCILE,23,,,,,
S000080471,UPGR,Xtrackers US Green Infrastructure Select Equity ETF,-0.6628480203392914,LOW,INTERNAL_FINANCIAL_CAPACITY,TERCILE,23,,,,,
S000062205,ACES,ALPS Clean Energy ETF,-0.3482822644810561,LOW,INTERNAL_FINANCIAL_CAPACITY,TERCILE,23,,,,,
S000074757,PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF,-0.023986669857086,LOW,INTERNAL_FINANCIAL_CAPACITY,TERCILE,23,,,,,
S000013931,DSI,iShares ESG MSCI KLD 400 ETF,0.0014825934834366,MIDDLE,INTERNAL_FINANCIAL_CAPACITY,TERCILE,23,,,,,
S000065418,SUSL,iShares ESG MSCI USA Leaders ETF,0.019531332913535,MIDDLE,INTERNAL_FINANCIAL_CAPACITY,TERCILE,23,,,,,
