CHANNEL,TEST,HORIZON_MONTHS,COEFFICIENT_ARCHITECTURE_FACTOR_BETAS,COEFFICIENT_BASELINE,COEFFICIENT_COMMON_STYLE_CONTROLS,P_VALUE_ARCHITECTURE_FACTOR_BETAS,P_VALUE_BASELINE,P_VALUE_COMMON_STYLE_CONTROLS
EXTERNAL_FINANCING_DEPENDENCE,CPU_AND_VIX_STRESS,0,-0.011915138443459391,-0.016124357944374966,-0.01610846004356787,0.2783644329758806,0.1358434910869231,0.13595125827027804
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,0,-0.004561782023069111,-0.006535591221884851,-0.006548559907875185,0.07161695945113991,0.004449538971850514,0.004189422921440429
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,9,-0.02089234265823347,-0.02357409698370614,-0.0223216606328031,0.08152228267202995,0.048181520051330216,0.06167398733712075
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,12,-0.026833257526579887,-0.03211430372631691,-0.03030521866289459,0.1307186515272688,0.09503846525181818,0.10946313016580152
EXTERNAL_FINANCING_DEPENDENCE,EXTREME_CPU_REGIME,6,0.08462787353231087,0.076784476376396,0.07610932818297617,0.024221084924762316,0.042180554860959715,0.04507683621394584
EXTERNAL_FINANCING_DEPENDENCE,EXTREME_CPU_REGIME,9,0.0935763162250432,0.09206853281023696,0.09130806647649845,0.010534848404265955,0.01819361669665366,0.020300788750495985
EXTERNAL_FINANCING_DEPENDENCE,EXTREME_CPU_REGIME,12,0.07757530065775495,0.05912369772200886,0.0580345667265987,0.05465876677709673,0.14095253941498181,0.15062597194610805
GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,0,-0.00041840634544151786,-0.01287492024523637,-0.012904131646929377,0.909102526260304,0.058796091263410136,0.05819360715961183
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,0,-0.00035198789121942145,-0.0016738696249662746,-0.0016548382411623122,0.7129614159758663,0.4221936299801669,0.4257424304952746
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,9,-0.008199921589623366,-0.006073490830437642,-0.006020777305918737,0.16461649254609056,0.2672846266143308,0.26734511552774715
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,12,-0.006926432123648685,-0.007743797462514387,-0.0077329765465471885,0.41692512382401503,0.23149535732621163,0.2134902562776726
GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,6,-0.022023829649163426,-0.025654725653424446,-0.025752262211363793,0.09031532011411031,0.07028407676049285,0.07069153711538524
GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,9,-0.044164366585121316,-0.04543829466703695,-0.04568483007689969,0.0012141389697075378,0.0010094187499378193,0.0009633005656892968
GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,12,-0.0589070563400793,-0.06347053680536761,-0.06416170242755942,0.012865727718770455,0.005859519466851101,0.005023131932899624
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,0,0.0034779338977579954,-0.00714214804587571,-0.007143711398644279,0.49820058932386463,0.2577551831081692,0.25797730951439246
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,0,0.0008061426711759972,-9.613480630344334e-05,-9.134098295605524e-05,0.5163100434812956,0.956718639679357,0.958785398204564
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,9,-0.004983285035995771,-0.002940628201893465,-0.0034822748905662324,0.4393187416890207,0.6495322254499896,0.5887019374654697
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,12,-0.0040326401685173595,-0.0034817924835048907,-0.004209294806500861,0.6709668056713838,0.6718310535959571,0.6008282108328842
INTERNAL_FINANCIAL_CAPACITY,EXTREME_CPU_REGIME,6,-0.04865553268360881,-0.05022879557320578,-0.04993012679189253,0.0020488973653783986,0.002230845813849656,0.0025340456649948803
INTERNAL_FINANCIAL_CAPACITY,EXTREME_CPU_REGIME,9,-0.06973588124308266,-0.072610975984937,-0.07268524364254456,0.00012449666720948895,4.076442087819791e-05,4.260882275159605e-05
INTERNAL_FINANCIAL_CAPACITY,EXTREME_CPU_REGIME,12,-0.080581694879829,-0.08221723543751264,-0.0822753567636284,0.0014485364708879528,0.0014381671688056626,0.0013793870868511488
PORTFOLIO_CONCENTRATION_FINAL,CPU_AND_VIX_STRESS,0,-0.003468933037608005,-0.01214263013751627,-0.0121669614581137,0.5023676488718183,0.07316050860725762,0.07230248203913976
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,0,-0.0021056615991326185,-0.0033958632930821036,-0.003410011272123478,0.0858939573576845,0.03369727556762363,0.03323691575896222
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,9,-0.00888359830516408,-0.00745494918811976,-0.0072922992477575475,0.13787518446559965,0.1640422773941587,0.15636856140099117
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,12,-0.007896843689702683,-0.009621329386421781,-0.009358252112368327,0.3148305122802857,0.21551127574200954,0.19332307804594215
PORTFOLIO_CONCENTRATION_FINAL,EXTREME_CPU_REGIME,6,0.02975707317895332,0.024091481487767175,0.02405779007670384,0.24446922947619235,0.3477607027923023,0.35009879658515175
PORTFOLIO_CONCENTRATION_FINAL,EXTREME_CPU_REGIME,9,0.015773531389659493,0.016734695240925697,0.01686888524121019,0.45794796526635806,0.43848558713521196,0.4400092466749449
PORTFOLIO_CONCENTRATION_FINAL,EXTREME_CPU_REGIME,12,0.004791846584284304,-0.004531560246113592,-0.004260025617894514,0.8490934453346475,0.8372051543862348,0.8490408876307751
